IMAGE_SCHEMA_ANNOTATION,LinguisticExamples,Language
CENTER-PERIPHERY,Wir haben uns in vielen Fragen…weit von der Basis entfernt.,de
CENTER-PERIPHERY,…eine bildungsferne Schicht…,de
CENTER-PERIPHERY,Die Gemeinschaft ist zu volksfern.,de
CENTER-PERIPHERY,"To us, culture and spirituality are very close concepts.",en
CENTER-PERIPHERY,These ideas are closely related.,en
CENTER-PERIPHERY,France has close ties to former colony Tunisia,en
CENTER-PERIPHERY,Was liegt da näher als…,de
CENTER-PERIPHERY,Der Schluß lag nahe…,de
CENTER-PERIPHERY,…wird der Umkehrschluß nahegelegt…,de
CENTER-PERIPHERY,"…legt den Verdacht nahe, dass…",de
CENTER-PERIPHERY,…aus naheliegenden Gründen…,de
CENTER-PERIPHERY,…nichts lag ihr ferner.,de
CENTER-PERIPHERY,"Sie legten ihm nahe, die Stadt zu verlassen…",de
CENTER-PERIPHERY,…jenen Ländern diese Einsicht näher zu bringen…,de
CENTER-PERIPHERY,My companion put it to me that an initiative must now be taken.,en
CENTER-PERIPHERY,"Stands to reason nobody'd dare to bomb us, because, we'd do the same to them.",en
CENTER-PERIPHERY,The mind starts revolting against even a distant suggestion that what we call `I' is a myth.,en
CENTER-PERIPHERY,For the Kaszubes and Poles of Danzig Poland was a distant idea only.,en
CENTER-PERIPHERY,"Far be it for me to try and teach you your job, but…",en
CENTER-PERIPHERY,"I have never killed anyone in my life, never even come close to it.'",en
CENTER-PERIPHERY,We have in fact already come close to the view that mental events are at bottom individual properties.,en
CENTER-PERIPHERY,He did come close to going on pension once at the age of 75 he sent off a perfunctory letter asking for retirement.,en
CENTER-PERIPHERY,He is out of touch with the political situation.,en
CENTER-PERIPHERY,Why don't you seize the opportunity?,en
CENTER-PERIPHERY,That's a far-fetched idea.,en
CENTER-PERIPHERY,His ideas are far out.,en
CENTER-PERIPHERY,I feel close to him.,en
CENTER-PERIPHERY,He’s close to his grandmother.,en
CENTER-PERIPHERY,He is very near and dear to her.,en
CENTER-PERIPHERY,She can’t get close to him.,en
CENTER-PERIPHERY,He keeps everyone at arms length.,en
CENTER-PERIPHERY,He distances himself.,en
CENTER-PERIPHERY,"We’ve been close for years, but we’re beginning to drift apart.",en
CENTER-PERIPHERY,He is a standoffish person.,en
CENTER-PERIPHERY,He had close personal contact with the natives.,en
CENTER-PERIPHERY,They lost touch with each other.,en
CENTER-PERIPHERY,…nahe Freundinnen…,de
CENTER-PERIPHERY,…war einer der engsten Freunde von Petra Kelly…,de
CENTER-PERIPHERY,…selbst enge Vertraute…,de
CENTER-PERIPHERY,Die Beziehung zu Petra…sei…“sehr eng“ gewesen…,de
CENTER-PERIPHERY,…die ihn…in den letzten Jahren näher kannten.,de
CENTER-PERIPHERY,Der Toten Nahestehende…,de
CENTER-PERIPHERY,…die übergroße Nähe…,de
CENTER-PERIPHERY,…seinen engeren Mitarbeitern…,de
CENTER-PERIPHERY,…stand Eric Clapton musikalisch und menschlich näher…,de
CENTER-PERIPHERY,They're very close.,en
CENTER-PERIPHERY,She's warming up to her new brother-in-law.,en
CENTER-PERIPHERY,Er bleibt früheren Systemkonzepten näher…,de
CENTER-PERIPHERY,…der als CDU-nah gilt…,de
CENTER-PERIPHERY,…aber als der SPD nahestehend gilt.,de
CENTER-PERIPHERY,…die jedes homosexuelle Verlangen weit von sich weisen…,de
CENTER-PERIPHERY,In den “Philosophischen Aufsätzen” geht er jetzt auf Distanz auch zu Joachim Ritter.,de
CENTER-PERIPHERY,…in solchen Distanzierungen…,de
CENTER-PERIPHERY,There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.,en
CENTER-PERIPHERY,It’s this one here that I want.,en
CENTER-PERIPHERY,Here is the pound I owe you.,en
CENTER-PERIPHERY,Here you are (when giving something to someone).,en
CENTER-PERIPHERY,Here’s to… (drinking a toast).,en
CENTER-PERIPHERY,People who are dear to us should be near us.,en
CENTER-PERIPHERY,They are very close friends.,en
CENTER-PERIPHERY,The question of women’s rights is a subject close to her heart.,en
CENTER-PERIPHERY,I’ll be around if you should want me.,en
CENTER-PERIPHERY,Here’s the door and there’s the way (used by one of the quarrelling parties in order to make the other one leave the room).,en
CENTER-PERIPHERY,There I disagree with you.,en
CENTER-PERIPHERY,There comes the difficulty.,en
CENTER-PERIPHERY,There’s the rub.,en
CENTER-PERIPHERY,"Since she died, he just sits out there all day doing nothing.",en
CENTER-PERIPHERY,The problem is far from being solved.,en
CENTER-PERIPHERY,"Far-fetched (= forced, unnatural)",en
CENTER-PERIPHERY,"far-gone (= deeply advanced into e.g. illness, madness, drunkenness, debt, etc.).",en
CENTER-PERIPHERY,"I always thought of my parents as being rigid, distant, and unloving.",en
CENTER-PERIPHERY,We are on distant terms.,en
CENTER-PERIPHERY,A distant connection between two ideas.,en
CENTER-PERIPHERY,A distant manner.,en
CENTER-PERIPHERY,His stories are too remote from everyday life.,en
CENTER-PERIPHERY,"She was a silent girl, cool and remote.",en
CENTER-PERIPHERY,…eines wirklichkeitsnahen Politikbegriffs…,de
CENTER-PERIPHERY,"Das Politische…ist auch nicht weit entfernt von dem, was Dolf Sternberger die wahre…Politik genannt hat…",de
CENTER-PERIPHERY,…“zu mehr Bürgernähe“ in der Asylpolitik…,de
CENTER-PERIPHERY,…kommen die Männer dem Weltniveau wieder näher.,de
CENTER-PERIPHERY,…“dass die Leistungen nicht so weit von der Spitze weg sind.,de
CENTER-PERIPHERY,…die neuen Landsleute von drüben…in der Nähe des westdeutschen Pro-Kopf-Einkommens zu halten.,de
CENTER-PERIPHERY,…näherten sich die Sozialstrukturen in den europäischen Staaten einander an,de
CENTER-PERIPHERY,…der Annäherung zwischen Ost und West…,de
CENTER-PERIPHERY,Wenn die Löhne sich immer mehr von der Produktivität entfernen…,de
CENTER-PERIPHERY,Hier verringert sich der Abstand zum reichen Norden sogar…,de
CENTER-PERIPHERY,Produktivität und Löhne laufen immer weiter auseinander.,de
CENTER-PERIPHERY,…einige auseinanderdriftende Inflationsraten.,de
CENTER-PERIPHERY,"…dass die Weltwirtschaft sich grundlegend von dem fortentwickelte, was sie…gewesen war.",de
CENTER-PERIPHERY,Wir haben uns in vielen Fragen…weit von der Basis entfernt.,de
CENTER-PERIPHERY,…eine bildungsferne Schicht…,de
CENTER-PERIPHERY,Die Gemeinschaft ist zu volksfern.,de
CENTER-PERIPHERY,Er bleibt früheren Systemkonzepten näher…,de
CENTER-PERIPHERY,…der als CDU-nah gilt…,de
CENTER-PERIPHERY,…aber als der SPD nahestehend gilt.,de
CENTER-PERIPHERY,…die jedes homosexuelle Verlangen weit von sich weisen…,de
CENTER-PERIPHERY,In den “Philosophischen Aufsätzen” geht er jetzt auf Distanz auch zu Joachim Ritter.,de
CENTER-PERIPHERY,…in solchen Distanzierungen…,de
CENTER-PERIPHERY,We're finally on the same page.,en
CENTER-PERIPHERY,Who's with me?,en
CENTER-PERIPHERY,I feel close to him.,en
CENTER-PERIPHERY,He distances himself.,en
CENTER-PERIPHERY,…nahe Freundinnen…,de
CENTER-PERIPHERY,…war einer der engsten Freunde von Petra Kelly…,de
CENTER-PERIPHERY,…selbst enge Vertraute…,de
CENTER-PERIPHERY,Die Beziehung zu Petra…sei…“sehr eng“ gewesen…,de
CENTER-PERIPHERY,…die ihn…in den letzten Jahren näher kannten.,de
CENTER-PERIPHERY,Der Toten Nahestehende…,de
CENTER-PERIPHERY,…die übergroße Nähe…,de
CENTER-PERIPHERY,…seinen engeren Mitarbeitern…,de
CENTER-PERIPHERY,…stand Eric Clapton musikalisch und menschlich näher…,de
CENTER-PERIPHERY,…ihrer engen Freundin…,de
CENTER-PERIPHERY,When Tuesday comes. . .,en
CENTER-PERIPHERY,Three O’clock is approaching.,en
CENTER-PERIPHERY,Thursday passed without incident.,en
CENTER-PERIPHERY,The witching hour is near.,en
CENTER-PERIPHERY,Who are the men closest to Khomeini? (Who are the men who have the strongest effect on Khomeini?),en
CENTER-PERIPHERY,so you kind of feel a little bit closer to the character within the book.,en
CENTER-PERIPHERY,at that point I think I sort of felt like I had taken a step away from the story.,en
CENTER-PERIPHERY,"but it felt like someone you love being pulled away from you ever so slowly, agonizingly slowly, watching someone you love being tortured and then just having her gone, it was quite horrible. I mean what was in my soul, it’s probably the best description I can give you, it’s like a massive loss.",en
CENTER-PERIPHERY,It is close on midnight.,en
CENTER-PERIPHERY,To answer that question we need to go further back in time.,en
CENTER-PERIPHERY,He was close to tears.,en
CENTER-PERIPHERY,He became emotionally distant from his friends and family after the illness.,en
CENTER-PERIPHERY,He is one of the prime minister's closest advisers.,en
CENTER-PERIPHERY,People need be entertained to take their attention away from conflict.,en
CENTER-PERIPHERY,I can feel a headache approaching.,en
CENTER-PERIPHERY,My symptoms went away.,en
CENTER-PERIPHERY,House Democrats and Republicans moved closer to agreeing on a budget today.,en
CENTER-PERIPHERY,It is unclear how the new law applies to this situation.,en
CENTER-PERIPHERY,Canada is by far the closest of all our neighbors.,en
CONTACT,His mother’s death hit him hard.,en
CONTACT,That idea bowled me over.,en
CONTACT,She’s a knockout.,en
CONTACT,I was struck by his sincerity.,en
CONTACT,That really made an impression on me.,en
CONTACT,He made his mark on the world.,en
CONTACT,I was touched by his remark.,en
CONTACT,That blew me away.,en
CONTACT,"We talk and talk, but I can’t seem to reach him.",en
CONTACT,We connect.,en
CONTACT,"We talk and talk, but I can’t seem to reach him.",en
CONTACT,He got to her.,en
CONTACT,I think I’m making contact with him.,en
CONTACT,I’m touched.,en
CONTACT,He touched her with the expensive gift.,en
CONTACT,He tickles her pink with his remarks.,en
CONTACT,He makes my skin crawl.,en
CONTACT,He rubs her the wrong way. (involves also People are Animals metaphor),en
CONTACT,Her T-shirt said Handle with Care”.,en
CONTACT,He doesn’t know how to handle her.,en
CONTACT,He has to be handled with kid gloves,en
CONTACT,He doesn’t feel anything so you really have to shake him.,en
CONTACT,His comment hit Joe right where it hurts.,en
CONTACT,He wraps himself in armor.,en
CONTACT,He shields himself from any experiences.,en
CONTACT,He won’t let anyone get near him.,en
CONTACT,He’s out of touch with everyone.,en
CONTACT,She’s in touch with him.,en
CONTACT,I can’t reach him by telephone.,en
CONTACT,We’ve been out of contact for years.,en
CONTAINMENT,What obligations have you gotten yourself into?,en
CONTAINMENT,Can you get out of doing the dishes?,en
CONTAINMENT,"I can’t get out of it, I’m locked into it.",en
CONTAINMENT,"Try to get out of those committments, don’t let your boss box you in.",en
CONTAINMENT,"There’s no way out, I have to do it.",en
CONTAINMENT,He trapped her into going with her.,en
CONTAINMENT,Do you know what you’re getting into?,en
CONTAINMENT,Have they entered into an agreement yet?,en
CONTAINMENT,He couldn’t get out of his agreement.,en
CONTAINMENT,He can be coaxed into an agreement.,en
CONTAINMENT,Is there an excape hatch in this agreement?,en
CONTAINMENT,He made/fixed/arranged it so that she couldn’t get out of it.,en
CONTAINMENT,He did it in three minutes.,en
CONTAINMENT,In 1968. . .,en
CONTAINMENT,We’re well into the century.,en
CONTAINMENT,He’s like something out of the last century.,en
CONTAINMENT,My morning has been very full.,en
CONTAINMENT,I can’t get this idea out of my mind.,en
CONTAINMENT,What did you have in mind?,en
CONTAINMENT,Who put that idea in your head?,en
CONTAINMENT,That boy hasn’t a thought in his head.,en
CONTAINMENT,He was putting on an act to impress an empty-headed girl.,en
CONTAINMENT,My mind was empty except for thoughts other.,en
CONTAINMENT,Nobody in their right mind would enjoy this show.,en
CONTAINMENT,He’s gone out of his mind.,en
CONTAINMENT,It's all in your mind.,en
CONTAINMENT,Keep it in the back of your mind,en
CONTAINMENT,"They listened to my lecture, but how much did they take in, I wonder!",en
CONTAINMENT,I can’t get this Latin grammar into my head.,en
CONTAINMENT,"Taking everything into consideration, the result is better than I expected.",en
CONTAINMENT,Open your mind to some new thoughts.,en
CONTAINMENT,She tried to keep an open mind on such subjects.,en
CONTAINMENT,… a closed mind.,en
CONTAINMENT,She assured me that her parents were broadminded.,en
CONTAINMENT,How stupid and bigoted and narrowminded he had become.,en
CONTAINMENT,I’ve kept this in my memory for years.,en
CONTAINMENT,Keep in mind that she is a friend of the director.,en
CONTAINMENT,You’ll need these figures so often that you must commit them to memory.,en
CONTAINMENT,He stored the knowledge somewhere in his fearsome memory.,en
CONTAINMENT,I could see the fear in his eyes.,en
CONTAINMENT,His eyes were filled with anger.,en
CONTAINMENT,There was passion in her eyes.,en
CONTAINMENT,His eyes displayed his compassion.,en
CONTAINMENT,She couldn’t get the fear out of her eyes.,en
CONTAINMENT,Love showed in his eyes.,en
CONTAINMENT,Her eyes welled with emotion.,en
CONTAINMENT,It was well within my field of vision.,en
CONTAINMENT,My field of vision was entirely filled by the huge crowd.,en
CONTAINMENT,He came into view.,en
CONTAINMENT,It was outside of my field of vision.,en
CONTAINMENT,He went out of view.,en
CONTAINMENT,The ship is coming into view.,en
CONTAINMENT,I have him in sight.,en
CONTAINMENT,I can’t see him – the tree is in the way.,en
CONTAINMENT,He’s out of sight now.,en
CONTAINMENT,That’s in the center of my field of vision.,en
CONTAINMENT,There’s nothing in sight.,en
CONTAINMENT,I can’t get all of the ships in sight at once.,en
CONTAINMENT,It's out of my field of vision.,en
CONTAINMENT,The island is now in full view.,en
CONTAINMENT,He’s a young man trapped in an old man’s body.,en
CONTAINMENT,He withdraws into himself.,en
CONTAINMENT,She found a chink in his armor.,en
CONTAINMENT,"Once you get past his rude exterior, you’ll find a warm and caring person inside.",en
CONTAINMENT,He’s a beautiful person inside.,en
CONTAINMENT,I was filled with rage.,en
CONTAINMENT,She was overflowing with joy.,en
CONTAINMENT,She could hardly contain her anger.,en
CONTAINMENT,She was filled with hatred.,en
CONTAINMENT,She let out a bitter cry.,en
CONTAINMENT,"The astounded Reichert could only blurt out, “where have you come from?”",en
CONTAINMENT,"Romeo wanted to speak out, but waited for her to say more.",en
CONTAINMENT,This allowed children to live out their natural interests.,en
CONTAINMENT,The truth had to be dragged out of him.,en
CONTAINMENT,Children act out their frustration in temper tantrums.,en
CONTAINMENT,When cornered they lashed out with savage kicks.,en
CONTAINMENT,Women are expected to hold in their anger.,en
CONTAINMENT,The implications of this did not first sink in.,en
CONTAINMENT,Such expectations are drummed into every growing child.,en
CONTAINMENT,He was filled with anger.,en
CONTAINMENT,She couldn't contain her joy.,en
CONTAINMENT,She was brimming with rage.,en
CONTAINMENT,"So profilbewußt, wie der Kanzler nach außen scheint…",de
CONTAINMENT,Ähnlich offen horcht Oskar Negt in sich hinein.,de
CONTAINMENT,…führte zu ihrer Verdrängung aus dem Bewußtsein…,de
CONTAINMENT,"Rechtschaffen, optimistisch und verschlossen…",de
CONTAINMENT,…kam keinem der Sieger in den Sinn…,de
CONTAINMENT,…kam keinem der Sieger in den Sinn…,de
CONTAINMENT,Täter und Opfer bewohnten denselben Körper.,de
CONTAINMENT,…und ihre Suche nach den weiblichen Seiten in sich…,de
CONTAINMENT,…ihnen das Gegenteil einzureden.,de
CONTAINMENT,Schreiben ist introvertiert.,de
CONTAINMENT,…ins Bewusstsein zu heben…,de
CONTAINMENT,…wie stark wir diesen Zwei-Klassen-Status…schon verinnerlicht haben.,de
CONTAINMENT,"Erich, ich sage dir offen,…",de
CONTAINMENT,…diesen geradezu buddhistischen Zustand der Leere herzustellen.,de
CONTAINMENT,"Von dem Nimbus, der diesen Mann trotz seiner Hohlheit…umgeben gaben muß…",de
CONTAINMENT,…stellte die Treuhand-Präsidentin voller Sarkasmus fest.,de
CONTAINMENT,…glauben hoffnungsvoll die Weltraum-Fahnder…,de
CONTAINMENT,…heftiger Gefühlsausbruch…,de
CONTAINMENT,…in ihren Zuhörern das schlechte Gewissen wecken…,de
CONTAINMENT,"Das muß ein besonderer Mann sein: voller Zärtlichkeit, Lust, Leben, Herz und Drive.",de
CONTAINMENT,"Insgesamt ein älterer Herr in guter Form, voller Laune, Witz, Dynamik.",de
CONTAINMENT,Aber eine Leidenschaft brennt in ihm immer noch…,de
CONTAINMENT,"Hoffnungsvoll stimmt auch, dass…",de
CONTAINMENT,…die Chemnitzer erfüllt jedes alte Gebäude… mit Stolz.,de
CONTAINMENT,…Leni Robert von den Grünen ist des Lobes voll…,de
CONTAINMENT,…fragen die Sozialdemokraten im ersten Grimm…,de
CONTAINMENT,…der sich in einem „schwindelerregenden Taumel erleuchteter Exaltation befand.,de
CONTAINMENT,…so befindet man sich in einem Zusande der Spannung…,de
CONTAINMENT,…der Tiefe ihrer Empfindungen!,de
CONTAINMENT,…aus Sorge um den Planeten…,de
CONTAINMENT,…aus Angst vor…,de
CONTAINMENT,…aus endloser Langeweile heraus.,de
CONTAINMENT,…nicht aus der Ruhe bringen.,de
CONTAINMENT,Damal denkt sie in ihrem Schmerz an Selbstmord.,de
CONTAINMENT,…in ein solches absolutes Verantwortungsgefühl für Petra Kelly hineingesteigert hat…,de
CONTAINMENT,Ein Weg aus der Hoffnungslosigkeit…,de
CONTAINMENT,The sketch was in the shape of a heart.,en
CONTAINMENT,It was a block of chocolate in the form of a cable car.,en
CONTAINMENT,How did I get myself into this situation?,en
CONTAINMENT,We’re in this thing together.,en
CONTAINMENT,How do we get out of this situation?,en
CONTAINMENT,We’re in a mess.,en
CONTAINMENT,We’re in hot water.,en
CONTAINMENT,We’re in a lot of trouble now.,en
CONTAINMENT,Let’s try to get out of this situation.,en
CONTAINMENT,He’s in it up to his neck.,en
CONTAINMENT,We have to look deeply into this problem for its solution.,en
CONTAINMENT,The detective set out to crack the case.,en
CONTAINMENT,I’m going to break this case wide open.,en
CONTAINMENT,He finally found the key to the problem.,en
CONTAINMENT,That’s a hard problem.,en
CONTAINMENT,I found his explanation impenetrable.,en
CONTAINMENT,The truth finally came out.,en
CONTAINMENT,The truth emerged.,en
CONTAINMENT,Now we’re really getting into the problem.,en
CONTAINMENT,The problem has a buried solution.,en
CONTAINMENT,Now I want to get to the bottom of this problem.,en
CONTAINMENT,Have you found out a solution?,en
CONTAINMENT,I won’t tell you – you’ll have to find out for yourself!,en
CONTAINMENT,He finally came up with a solution.,en
CONTAINMENT,The solution finally was brought to light.,en
CONTAINMENT,We fished out a number of unpleasant facts.,en
CONTAINMENT,We dredged up a load of sordid facts about her.,en
CONTAINMENT,Only one conclusion can be drawn from that.,en
CONTAINMENT,What did you gather from his statement?,en
CONTAINMENT,Try to pack more thought into fewer words.,en
CONTAINMENT,You can’t simply stuff ideas into a sentence any old way.,en
CONTAINMENT,The meaning is right there in the words.,en
CONTAINMENT,His words carry little meaning.,en
CONTAINMENT,The introduction has a great deal of thought content.,en
CONTAINMENT,You should form your words carefully.,en
CONTAINMENT,This is a well-crafted sentence.,en
CONTAINMENT,Promises should be articulated clearly.,en
CONTAINMENT,That remark is completely impenetrable.,en
CONTAINMENT,"Whatever Emily meant, it's likely to be locked up in that cryptic little verse forever. ",en
CONTAINMENT,He writes sentences in such a way as to seal up the meaning in them.,en
CONTAINMENT,Are tomatoes in the fruit or vegetable category?,en
CONTAINMENT,It's a borderline case.,en
CONTAINMENT,Tomatoes technically fall within the fruit category.,en
CONTAINMENT," I wouldn't put him in the friend category, exactly. ",
CONTAINMENT,Are you in the race on Sunday?,en
CONTAINMENT,The finish of the race was really exciting.,en
CONTAINMENT,There was a lot of good running in the race.,en
CONTAINMENT,"Halfway into the race, I ran out of the energy.",en
CONTAINMENT,He’s out of the race now.,en
CONTAINMENT,"In washing the window, I splashed water all over the floor.",en
CONTAINMENT,How did Jerry get out of washing the window?,en
CONTAINMENT,"Outside of washing the windows, what else did you do?",en
CONTAINMENT,How much window-washing did you do?,en
CONTAINMENT,He’s immersed in washing the windows right now.,en
CONTAINMENT,I put a lot of energy into washing the windows.,en
CONTAINMENT,I get a lot of satisfaction out of washing the windows.,en
CONTAINMENT,There is a lot of satisfaction in washing the windows.,en
CONTAINMENT,How did Jerry get out of washing the windows?,en
CONTAINMENT,"Outside of washing the windows, what else did you do? ",en
CONTAINMENT,I put a lot of energy into washing the windows.,en
CONTAINMENT,I get a lot of satisfaction out of washing windows.,en
CONTAINMENT,He’s in love.,en
CONTAINMENT,We’re out of trouble now.,en
CONTAINMENT,He’s coming out of coma.,en
CONTAINMENT,I’m slowly getting into shape.,en
CONTAINMENT,He entered a state of euphoria.,en
CONTAINMENT,He fell into a depression.,en
CONTAINMENT,He finally emerged from the catatonic state he had been in since the end of finals week.,en
CONTAINMENT,exempted from evil,en
CONTAINMENT,I’ve had a full life.,en
CONTAINMENT,Life is empty for him.,en
CONTAINMENT,There’s not much left for him in life.,en
CONTAINMENT,Her life is crammed with activities.,en
CONTAINMENT,Get the most out of life.,en
CONTAINMENT,His life contained a great deal of sorrow.,en
CONTAINMENT,Live your life to the fullest.,en
CONTAINMENT,…zum zweiten Mal in seinem Leben…,de
CONTAINMENT,Nachdem so ziemlich alle Winkel des männlichen Lebens…ausgeleuchtet scheinen…,de
CONTAINMENT,…in ihrem Leben…,de
CONTAINMENT,…Integration ins Berufsleben…,de
CONTAINMENT,Wie könnte ein politisches Leben mehr umfassen?,de
CONTAINMENT,"Willy Brandt hat viele Leben gelebt, voller Abschiede und Anhänge.",de
CONTAINMENT,In Wahrheit enthielt es [Willy Brandts Leben] viele Brüche und Widersprüche.,de
CONTAINMENT,…scheiden aus dem Leben…,de
CONTAINMENT,…in seinem Privatleben…,de
CONTAINMENT,…es ist nicht ausgeschlossen…,de
CONTAINMENT,…beim Hereinbrechen des Föhns.,de
CONTAINMENT,Das ist offen.,de
CONTAINMENT,Er schloss es aus…,de
CONTAINMENT,"In der zweiten Halbzeit trat das ein, was…",de
CONTAINMENT,Schon 1856 hatte man in England Militärphotographie eingeführt.,de
CONTAINMENT,…an der Einführung des allgemeinen Wahlrechts in Großbritannien…,de
CONTAINMENT,…die impulsiven Reaktionen Tür und Tor öffnen würden.,de
CONTAINMENT,Your argument doesn’t have much content.,en
CONTAINMENT,That argument has holes in it.,en
CONTAINMENT,"You don’t have much of an argument, but his objections have even less substance.",en
CONTAINMENT,Your argument is vacuous.,en
CONTAINMENT,I’m tired of your empty arguments.,en
CONTAINMENT,You won’t find that idea in his argument.,en
CONTAINMENT,That conclusion falls out of my argument.,en
CONTAINMENT,Your argument won’t hold water.,en
CONTAINMENT,Those points are central to the argument – the rest is peripheral.,en
CONTAINMENT,I still haven’t gotten to the core of his argument.,en
CONTAINMENT,Your argument has a lot of content.,en
CONTAINMENT,What is the core of his argument?,en
CONTAINMENT,…in der veränderten Welt…,de
CONTAINMENT,…mehr Kinder in die Welt zu setzen…,de
CONTAINMENT,…von Außerirdischen…,de
CONTAINMENT,…in der ganzen Welt…,de
CONTAINMENT,…in aller Welt…,de
CONTAINMENT,…verkauft…Dienstleistungen in die ganze Welt…,de
CONTAINMENT,…die Nummer eins in der Welt…,de
CONTAINMENT,…dass die neuen Erfolgsinder sich…in die Welt hineinboxen.,de
CONTAINMENT,…ins Weltall…,de
CONTAINMENT,…im Weltall…,de
CONTAINMENT,…ins All…,de
CONTAINMENT,…im galaktischen Äther…,de
CONTAINMENT,Aussiedler aus Osteuropa…,de
CONTAINMENT,…aus dem Westen…,de
CONTAINMENT,…im englischen Norden und im Großraum London…,de
CONTAINMENT,"…aus Übersee… , …in Übersee…",de
CONTAINMENT,…mitten in Europa…,de
CONTAINMENT,…im Baltikum…,de
CONTAINMENT,…im Wohlstandswesten…,de
CONTAINMENT,…in der „Dritten Welt…,de
CONTAINMENT,…in die Provinz…,de
CONTAINMENT,…Einwanderung…,de
CONTAINMENT,…Innenminister…,de
CONTAINMENT,…Außenpolitik…,de
CONTAINMENT,…Außenamtschef Klaus Kinkel…,de
CONTAINMENT,Die meisten Ausländer…,de
CONTAINMENT,…die wichtigste Ordnungsmacht der Welt werden im Wahlkampf über ihre innere Erneuerung und den künftigen Kurs nach außen debattieren.,de
CONTAINMENT,…Innere Sicherheit…,de
CONTAINMENT,…für In- und Ausland…,de
CONTAINMENT,…Ausfuhr von Milchprodukten…,de
CONTAINMENT,…mehr Leute ausreisen lassen.,de
CONTAINMENT,…wenden ihren Blick aufs Innere des Landes.,de
CONTAINMENT,Die Flut der hereinströmenden Importe…,de
CONTAINMENT,…sich in Konstantinopel aufhielt…,de
CONTAINMENT,In Berlin…,de
CONTAINMENT,…Londoner Innenstadt…,de
CONTAINMENT,…aus dem kanadischen Toronto…,de
CONTAINMENT,…aus Bonn und Paris…,de
CONTAINMENT,…in bestimmten Bezirken Londons…,de
CONTAINMENT,…im Londoner Stadtteil Hampstead…,de
CONTAINMENT,…in einem verfallenen Bezirk an den Londoner Docks…,de
CONTAINMENT,…in den Elendsvierteln…,de
CONTAINMENT,…in den Armutsvierteln…,de
CONTAINMENT,In den ersten drei Monaten…,de
CONTAINMENT,…schreiben also hinein in einen Moment neuer Ungewissheit.,de
CONTAINMENT,Wie das war in seinem elften Lebensjahr…,de
CONTAINMENT,…dem Judentum geistig den Übergang in die Emanzipationsära erleichtert.,de
CONTAINMENT,…in Zukunft…,de
