IS_ANNOTATION,LinguisticExamples
CONTAINMENT,His words carry little meaning.
CONTAINMENT,The introduction has a great deal of thought content.
CONTAINMENT,You should form your words carefully.
CONTAINMENT,This is a well-crafted sentence.
CONTAINMENT,Promises should be articulated clearly.
CONTAINMENT,That remark is completely impenetrable.
CONTAINMENT,"Whatever Emily meant, it's likely to be locked up in that cryptic little verse forever."
CONTAINMENT,He writes sentences in such a way as to seal up the meaning in them.
CONTAINMENT,Are tomatoes in the fruit or vegetable category?
CONTAINMENT,It's a borderline case.
CONTAINMENT,Tomatoes technically fall within the fruit category.
CONTAINMENT,Are you in the race on Sunday?
CONTAINMENT,The finish of the race was really exciting.
CONTAINMENT,There was a lot of good running in the race.
CONTAINMENT,"Halfway into the race, I ran out of the energy."
CONTAINMENT,He’s out of the race now.
CONTAINMENT,"In washing the window, I splashed water all over the floor."
CONTAINMENT,How did Jerry get out of washing the window?
CONTAINMENT,"Outside of washing the windows, what else did you do?"
CONTAINMENT,How much window-washing did you do?
CONTAINMENT,He’s immersed in washing the windows right now.
CONTAINMENT,I put a lot of energy into washing the windows.
CONTAINMENT,I get a lot of satisfaction out of washing the windows.
CONTAINMENT,There is a lot of satisfaction in washing the windows.
CONTAINMENT,How did Jerry get out of washing the windows?
CONTAINMENT,"Outside of washing the windows, what else did you do?"
CONTAINMENT,I put a lot of energy into washing the windows.
CONTAINMENT,I get a lot of satisfaction out of washing windows.
CONTAINMENT,He’s in love.
CONTAINMENT,We’re out of trouble now.
CONTAINMENT,He’s coming out of coma.
CONTAINMENT,I’m slowly getting into shape.
CONTAINMENT,He entered a state of euphoria.
CONTAINMENT,He fell into a depression.
CONTAINMENT,He finally emerged from the catatonic state he had been in since the end of finals week.
CONTAINMENT,exempted from evil
CONTAINMENT,I’ve had a full life.
CONTAINMENT,Life is empty for him.
CONTAINMENT,There’s not much left for him in life.
CONTAINMENT,Her life is crammed with activities.
CONTAINMENT,Get the most out of life.
CONTAINMENT,His life contained a great deal of sorrow.
CONTAINMENT,Live your life to the fullest.
CONTAINMENT,Your argument doesn’t have much content.
CONTAINMENT,That argument has holes in it.
CONTAINMENT,"You don’t have much of an argument, but his objections have even less substance."
CONTAINMENT,Your argument is vacuous.
CONTAINMENT,I’m tired of your empty arguments.
CONTAINMENT,You won’t find that idea in his argument.
CONTAINMENT,That conclusion falls out of my argument.
CONTAINMENT,Your argument won’t hold water.
CONTAINMENT,Those points are central to the argument – the rest is peripheral.
CONTAINMENT,I still haven’t gotten to the core of his argument.
CONTAINMENT,Your argument has a lot of content.
CONTAINMENT,What is the core of his argument?
CONTAINMENT,Our circle of friends is quite diverse.
CONTAINMENT,He's hasn't penetrated that group.
CONTAINMENT,"I’ve sunk all my money into this business, so it had better succeed."
CONTAINMENT,The proposal borders on the absurd.
CONTAINMENT,The limit must be drawn somewhere.
CONTAINMENT,They overstepped their authority.
CONTAINMENT,This goes beyond all bounds.
CONTAINMENT,You should keep within reasonable limits.
CONTAINMENT,He seems to have limited intelligence.
CONTAINMENT,They hedged her in to protect her.
CONTAINMENT,They were walled in by taboos.
CONTAINMENT,His actions are beyond my control.
CONTAINMENT,The whole situation spiraled out of (our) control.
CONTAINMENT,He returned to power.
CONTAINMENT,The president is in control of the executive branch.
CONTAINMENT,President Mubarak has stepped down from power.
CONTAINMENT,The restrictive regulations are holding back innovation.
CONTAINMENT,Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.
CONTAINMENT,This group contains twenty members.
CONTAINMENT,There are twenty members in this group.
CONTAINMENT,Our circle of friends is quite diverse.
CONTAINMENT,He's hasn't penetrated that group.
CONTAINMENT,Our nation contains some of the best entrepreneurs in the world.
CONTAINMENT,The western world is drowning in an ocean of debt unlike anything the world has ever seen before
CONTAINMENT,"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public."
CONTAINMENT,she held out her mind like a saucepan
CONTAINMENT,He has a pain in his shoulder.
CONTAINMENT,Don’t give me the flu.
CONTAINMENT,My cold has gone from my head to my chest.
CONTAINMENT,His pains went away.
CONTAINMENT,His depression returned.
CONTAINMENT,Hot tea and honey will get rid of your cough.
CONTAINMENT,He could barely contain his joy.
CONTAINMENT,The smile left his face.
CONTAINMENT,"Wipe that sneer off your face, private!"
CONTAINMENT,His fears keep coming back.
CONTAINMENT,I’ve got to shake off this depresseion – it keeps hanging on.
CONTAINMENT,"If you’ve got a cold, drinking lots of tea will flush it out of your system."
CONTAINMENT,There isn’t a trace of cowardice in him.
CONTAINMENT,He hasn’t got an honest bone in his body.
CONTAINMENT,She is boiling with anger.
CONTAINMENT,boiling anger
CONTAINMENT,simmering anger
CONTAINMENT,anger boiling up inside of him
CONTAINMENT,anger simmering inside of her
CONTAINMENT,anger simmer beneath surface
CONTAINMENT,anger boil over (into action)
CONTAINMENT,anger reach boiling point
CONTAINMENT,She boils with anger
CONTAINMENT,He seethes with anger
CONTAINMENT,He kept a lid on anger
CONTAINMENT,She vented her anger against him
CONTAINMENT,He give vent to his anger
CONTAINMENT,seething of anger
CONTAINMENT,You make my blood boil.
CONTAINMENT,I had reached the boiling point.
CONTAINMENT,a lunatic courage welling within him
CONTAINMENT,she was filled with anger
CONTAINMENT,he was full of anger
CONTAINMENT,he contained his anger
CONTAINMENT,held-in anger
CONTAINMENT,pent-up anger
CONTAINMENT,She was unable to contain her anger.
CONTAINMENT,Build up of anger
CONTAINMENT,anger build up inside of them
CONTAINMENT,pentup anger
CONTAINMENT,explosive anger
CONTAINMENT,volcanic anger
CONTAINMENT,outlet for anger
CONTAINMENT,burst of anger
CONTAINMENT,explosion of anger
CONTAINMENT,outburst of anger
CONTAINMENT,anger have volcanic eruptions
CONTAINMENT,anger blows up into action
CONTAINMENT,anger burst out into action
CONTAINMENT,anger erupts into action
CONTAINMENT,anger explode into action
CONTAINMENT,They erupt with anger
CONTAINMENT,She bursts out with anger
CONTAINMENT,The sight filled her with fear.
CONTAINMENT,fear permeate them
CONTAINMENT,fear well up inside
CONTAINMENT,Sara’s heart becomes filled with fear
CONTAINMENT,John is full of fear
CONTAINMENT,Mary contains fear
CONTAINMENT,This truly fills them with fear.
CONTAINMENT,This situation really puts fear in them.
CONTAINMENT,fear filled him
CONTAINMENT,fear pour out
CONTAINMENT,pent up fear
CONTAINMENT,He was overflowing with joy
CONTAINMENT,heart swell with joy
CONTAINMENT,It swelled his heart with joy
CONTAINMENT,Joy pour into heart
CONTAINMENT,She brims over with joy
CONTAINMENT,joy seeps from her
CONTAINMENT,overflowing joy
CONTAINMENT,inner joy
CONTAINMENT,He is filled with joy.
CONTAINMENT,It contains joy
CONTAINMENT,He filled her heart with joy
CONTAINMENT,He left her empty of joy
CONTAINMENT,Anna’s heart filled with joy
CONTAINMENT,explosion of joy
CONTAINMENT,Tom explodedt with joy
CONTAINMENT,joy burst in their heart
CONTAINMENT,joy burst through him
CONTAINMENT,She erupt in joy
CONTAINMENT,He's bursting with excitement.
CONTAINMENT,That joke is side-splittingly funny.
CONTAINMENT,I am filled with sorrow.
CONTAINMENT,It included sadness
CONTAINMENT,sadness filled his heart
CONTAINMENT,Her eye filled with sadness
CONTAINMENT,Her (heart/voice) was full of sadness
CONTAINMENT,filled up with sadness
CONTAINMENT,be filled with sadness
CONTAINMENT,contain/hold sadness
CONTAINMENT,She filled him with sadness
CONTAINMENT,burst of sadness
CONTAINMENT,He filled her with disgust
CONTAINMENT,disgust filled them
CONTAINMENT,They were full of disgust
CONTAINMENT,His eyes were filled with disgust
CONTAINMENT,outlet for disgust
CONTAINMENT,disgust build up among them
CONTAINMENT,He burst with disgust
CONTAINMENT,He doesn’t have it in him to be polite to his in-laws.
CONTAINMENT,He lacks internal/intestinal fortitude.
CONTAINMENT,He has a great capacity for learning.
CONTAINMENT,There is both cotton and polyester in that shirt.
CONTAINMENT,This drink is loaded with vitamins.
CONTAINMENT,Our agenda is packed with events.
CONTAINMENT,There are seven days in a week.
CONTAINMENT,The detective couldn't get much information out of the partial shoe print.
CONTAINMENT,Tree rings contain the story of the region.
CONTAINMENT,It was years before the fossils yielded any valuable information.
CONTAINMENT,spill the beans
CONTAINMENT,let the cat out of the bag
CONTAINMENT,blow the whistle
CONTAINMENT,blow the lid off
CONTAINMENT,loose lips
CONTAINMENT,"Just yeah, more in the movie than outside the movie."
CONTAINMENT,"Yes, so you’re in the moment, just in the film, I know people talk about switching off and that but it’s more than that, you just become involved in that film and what’s happening."
CONTAINMENT,you’re just enveloped in the film so you’re in the moment.
CONTAINMENT,you’re just enveloped in the film so you’re in the moment.
CONTAINMENT,"the deeper you get into the story the more shocking people’s responses are, . . . it’s a de- scent, it really does feel like you’re descending into something, and then when the story’s over yougetsomekindofcomeupforair....Ifeel like I’m sinking deeper into something."
CONTAINMENT,stir in the ingredients gradually until all of them has been used.
CONTAINMENT,Heat the butter gently and then blend in a little flour.
CONTAINMENT,Badly decayed timber should be cut out and replaced.
CONTAINMENT,He carefully measured out a pint of whisky.
CONTAINMENT,Slice the tops off the tomatoes and scoop out the seeds.
CONTAINMENT,He sorted out the white laundry from the colored.
CONTAINMENT,the new college building does not merge in with the old buildings around.
CONTAINMENT,Saturday and Sunday seemed to merge into each other.
CONTAINMENT,The teacher singled him out for particular praise.
CONTAINMENT,why do you cross out the last line of your letter?
CONTAINMENT,We must separate out facts from speculation.
CONTAINMENT,The skirt is too big. Please take it in.
CONTAINMENT,Part of the roof has caved in.
CONTAINMENT,Now the police were closing in.
CONTAINMENT,I’ll bash your silly head in.
CONTAINMENT,The wind bellied out the sails.
CONTAINMENT,The road broadened out after this bend.
CONTAINMENT,He stretched out in front of the fire and fell asleep.
CONTAINMENT,The troops fanned out as they advanced.
CONTAINMENT,The search party spread out over the moor.
CONTAINMENT,"I more or less caved in, though I still defended my explanations."
CONTAINMENT,He has to give in.
CONTAINMENT,Those are the main points I’ll be talking about. Now I’ll flesh them out for you.
CONTAINMENT,The wildfire of revolution rapidly spread throughout the land.
CONTAINMENT,Why don’t you join in and have some fun?
CONTAINMENT,The police were called in to investigate the robbery.
CONTAINMENT,The company has decided to pull out of the project.
CONTAINMENT,He didn’t want to look as if he was chickening out.
CONTAINMENT,A deal is a deal. You can’t back out now.
CONTAINMENT,Such behavior might result in the executive being asked to leave.
CONTAINMENT,He believes in individual liberty.
CONTAINMENT,This room will be changed into a kitchen.
CONTAINMENT,I talked him into accepting the job.
CONTAINMENT,The lamp gives out dim lights.
CONTAINMENT,The bells rang out.
CONTAINMENT,Each of the eggs hatches out into a tiny grub.
CONTAINMENT,I don’t go in for that sort of fishing.
CONTAINMENT,Frank told himself not to be taken in by superficial appearances.
CONTAINMENT,"I don’t like the book when I started it, but the strange story soon draw me in."
CONTAINMENT,I had no idea what I was going to write about when I started out.
CONTAINMENT,They succeeded in what they had set out to do.
CONTAINMENT,The woods have burnt out.
CONTAINMENT,I spent three days cleaning our flat out.
CONTAINMENT,Comprehensive schools assisted in flattening out all regional accents.
CONTAINMENT,Increased productivity and generous staffing could be said to cancel each other out.
CONTAINMENT,I thought most of the problems were ironed out.
CONTAINMENT,The lights went out.
CONTAINMENT,We turned out the lights.
CONTAINMENT,They put/beat out the fire.
CONTAINMENT,Someone opened the door and the candle blew out.
CONTAINMENT,The proposals were hedged in with legal niceties.
CONTAINMENT,You have to contract in if you want to participate in the scheme.
CONTAINMENT,He felt hemmed in by convention.
CONTAINMENT,He cannot hold in his anger.
CONTAINMENT,The war broke out.
CONTAINMENT,He burst out laughing.
CONTAINMENT,Thicker fabrics and darker colors came in.
CONTAINMENT,Labor governments come in promising to expand public expenditure.
CONTAINMENT,All the facts came out after Sherry’s death.
CONTAINMENT,His new book will come out next month.
CONTAINMENT,She became trapped as the tide came in.
CONTAINMENT,The tide has gone out.
CONTAINMENT,The cold weather set in.
CONTAINMENT,The use of the lead-free petrol is now being phased in.
CONTAINMENT,"After the introduction, we’ll fade in the first scene."
CONTAINMENT,Traditional grocer’s shops are fast dying out.
CONTAINMENT,The sound of the chopper has faded out.
CONTAINMENT,He has been hiding out in a provincial village.
CONTAINMENT,Mask out his voice with white noise.
CONTAINMENT,The noise from the plane drowned out the noise of the gun.
CONTAINMENT,My head thumped solidly on a rock and I passed out.
CONTAINMENT,The tablet knocked her out for four solid hours.
CONTAINMENT,"The plane dived suddenly, causing the pilot to black out."
CONTAINMENT,The information has been leaked out.
CONTAINMENT,The singer has brought out a second album.
CONTAINMENT,They managed to work out a solution to the problem.
CONTAINMENT,She was able to reason out many of the passages and their meanings.
CONTAINMENT,They need to interview some people and find out whether they like their jobs.
CONTAINMENT,"The river sliced through sediments, carving out the gorge."
CONTAINMENT,The first experiments were carried out by Dr. Preston.
CONTAINMENT,The factory turns out 5000 cars every month.
CONTAINMENT,The president promised to look into the matter.
CONTAINMENT,When he got back to Berlin he would inquire into the whole business.
CONTAINMENT,...trapping so many people in state dependency robs them of their human dignity.
CONTAINMENT,[T]he federal government's welfare assistance programs intended to help those in need instead effectively trap people into dependence
CONTAINMENT,We pitched them the idea and they ate it right up.
CONTAINMENT,He's been feeding her lies all these years.
CONTAINMENT,This article is hard to digest.
CONTAINMENT,I've been feeding him stock market tips for weeks.
CONTAINMENT,This SUV sure is a gas guzzler.
CONTAINMENT,Demand for paper goods is eating away at our planet's forests.
CONTAINMENT,Developing nations are gobbling up our fossil fuels at any alarming rate.
CONTAINMENT,The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.
CONTAINMENT,We have not found a way to stem this rising flood of gun violence.
CONTAINMENT,We are drowning in an ocean of gun violence.
CONTAINMENT,Lost in the bureaucratic maze of city's criminal justice system
CONTAINMENT,We need to protect our rights from infringement.
CONTAINMENT,The government overstepped a line when they proposed wiretapping citizens' phone lines.
CONTAINMENT,Gay marriage is encroaching on our religious freedoms.
CONTAINMENT,These gay marriage laws have invaded our religious rights.
CONTAINMENT,The government needs to stay out of my bedroom.
CONTAINMENT,"The poor deserve a hand up, not a handout."
CONTAINMENT,"The government shouldn't just give handouts, it needs to encourage people to get jobs instead."
CONTAINMENT,We covered a lot of ground.
CONTAINMENT,He’s on our trail.
CONTAINMENT,He strayed off the trail.
CONTAINMENT,We went back over the same trail.
CONTAINMENT,We have already covered those points.
CONTAINMENT,We have covered a lot of ground in our argument.
CONTAINMENT,Let’s go back over the argument again.
CONTAINMENT,You’re getting off the subject.
CONTAINMENT,You’re really onto something there.
CONTAINMENT,We’re well on our way to solving this problem.
CONTAINMENT,The theory was expanded to cover more data.
CONTAINMENT,That theory covers a lot of territory.
CONTAINMENT,The theory filled in gaps left in earlier accounts.
CONTAINMENT,The theory fit the data closely.
CONTAINMENT,The theory doesn’t fit with the facts.
CONTAINMENT,There was a hole in theory (it fails to cover all the facts)
CONTAINMENT,The theory is closely tied to the facts.
CONTAINMENT,The crisis stripped away our veneer of sophistication.
CONTAINMENT,We donned an appearance of nonchallance.
CONTAINMENT,Put on a happy face.
CONTAINMENT,Under cover of darkness.
CONTAINMENT,He was enveloped in darkness.
CONTAINMENT,Darkness closed in over us.
CONTAINMENT,It's what's on the inside that counts.
CONTAINMENT,She only has surface charm.
CONTAINMENT,"We’ve been in a close relationship for years, but it’s beginning to seem confining."
CONTAINMENT,to have an open marriage
CONTAINMENT,She's trapped in a relationship with a scumbag.
CONTAINMENT,They had a falling out.
COVERING,Government transparency enables the public to hold the government accountable for how they spend their money.
COVERING,Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.
COVERING,His judgement is clouded.
