sentence,image_schema,annotation
"The wild compass whose fluctuations she had always obeyed, making for tumult and motion in place of direction, was suddenly fractured.",FORCE,
add heavily to the weights pulling her downward,FORCE,
she carried too great a weight of untold stories,FORCE,
her mood of weight and fatigue.,FORCE,
At the same time a strange wave of anger appeared which she felt and could not understand.,FORCE,
"But inevitably, she would grow restive and tumultuous, chaotic and disturbed",FORCE,
"The wild compass whose fluctuations she had always obeyed, making for tumult and motion in place of direction, was suddenly fractured so that she no longer knew even the re- lief of ebbs and flows and dispersions.",FORCE,
Anxiety had entered her body and refused to run through it.,FORCE,
"The silvery holes of her sieve against sorrow granted her at birth, had clogged.",FORCE,
It was a stormy meeting.,FORCE,
climate of anger,FORCE,
flood of anger,FORCE,
surge of anger,FORCE,
wave of anger,FORCE,
anger surge,FORCE,
anger roil in(side) of someone,FORCE,
anger sweeps him beyond emotion,FORCE,
anger washes over her,FORCE,
anger washes through him,FORCE,
anger subsides away,FORCE,
anger ebbs away,FORCE,
let anger unroll like a wave,FORCE,
staunches anger,FORCE,
haven from anger,FORCE,
She was engulfed by panic,FORCE,
wave of fear,FORCE,
He was swept off his feet,FORCE,
flood of joy,FORCE,
surge of joy,FORCE,
joy surges through them,FORCE,
joy sweeps over her,FORCE,
joy sweeps through him,FORCE,
to be swept away by joy,FORCE,
joy subside,FORCE,
She was overwhelmed with joy.,FORCE,
We were carried away with happiness.,FORCE,
He was swept off his feet.,FORCE,
I was bowled over.,FORCE,
They were transported.,FORCE,
That was a terrible blow.,FORCE,
Waves of depression came over him.,FORCE,
rushes of sadness,FORCE,
waves of sadness,FORCE,
sadness sweeps over her,FORCE,
sadness washes over them,FORCE,
They were drawn to each other.,FORCE,
He found the brussel sprouts repulsive.,FORCE,
Tom Hanks is very attractive.,FORCE,
I was forced to do it.,FORCE,
I could feel the electricity between us.,FORCE,
There were sparks.,FORCE,
I was magnetically drawn to her.,FORCE,
They are uncontrollably attracted to each other.,FORCE,
They gravitated to each other immediately.,FORCE,
The atmosphere around them is always charged.,FORCE,
There is incredible energy in their relationship.,FORCE,
They lost their momentum.,FORCE,
She knocked me out.,FORCE,
I was bowled over by him.,FORCE,
We were immediately attracted to each other.,FORCE,
There was a magnetism between us.,FORCE,
We were drawn to each other.,FORCE,
He swept her off her feet.,FORCE,
The hit sent the crowd into a frenzy.,FORCE,
FDR’s leadership brought the country out of the depression.,FORCE,
The home run threw the crowd into a frenzy.,FORCE,
The home run threw the crowd into a frenzy.,FORCE,
Their negotiations pulled both sides from the brink of war.,FORCE,
That experience pushed him over the edge.,FORCE,
Her speech moved the crowd to rage.,FORCE,
The news propelled the stock market to record heights.,FORCE,
The trial thrust O.J.’s attorneys into the limelight.,FORCE,
We’ve accelerated the building of the new bridge.,FORCE,
They pushed the bill through Congress.,FORCE,
California Cities Struggling Under Wave of Corruption,FORCE,
FIFA facing corruption 'tsunami',FORCE,
What obligations have you gotten yourself into?,CONTAINMENT,
Can you get out of doing the dishes?,CONTAINMENT,
"I can’t get out of it, I’m locked into it.",CONTAINMENT,
"Try to get out of those committments, don’t let your boss box you in.",CONTAINMENT,
"There’s no way out, I have to do it.",CONTAINMENT,
He trapped her into going with her.,CONTAINMENT,
Do you know what you’re getting into?,CONTAINMENT,
Have they entered into an agreement yet?,CONTAINMENT,
He couldn’t get out of his agreement.,CONTAINMENT,
He can be coaxed into an agreement.,CONTAINMENT,
Is there an excape hatch in this agreement?,CONTAINMENT,
He made/fixed/arranged it so that she couldn’t get out of it.,CONTAINMENT,
He did it in three minutes.,CONTAINMENT,
In 1968. . .,CONTAINMENT,
We’re well into the century.,CONTAINMENT,
He’s like something out of the last century.,CONTAINMENT,
My morning has been very full.,CONTAINMENT,
I can’t get this idea out of my mind.,CONTAINMENT,
What did you have in mind?,CONTAINMENT,
Who put that idea in your head?,CONTAINMENT,
That boy hasn’t a thought in his head.,CONTAINMENT,
He was putting on an act to impress an empty-headed girl.,CONTAINMENT,
My mind was empty except for thoughts other.,CONTAINMENT,
Nobody in their right mind would enjoy this show.,CONTAINMENT,
He’s gone out of his mind.,CONTAINMENT,
It's all in your mind.,CONTAINMENT,
Keep it in the back of your mind,CONTAINMENT,
"They listened to my lecture, but how much did they take in, I wonder!",CONTAINMENT,
I can’t get this Latin grammar into my head.,CONTAINMENT,
"Taking everything into consideration, the result is better than I expected.",CONTAINMENT,
Open your mind to some new thoughts.,CONTAINMENT,
She tried to keep an open mind on such subjects.,CONTAINMENT,
… a closed mind.,CONTAINMENT,
She assured me that her parents were broadminded.,CONTAINMENT,
How stupid and bigoted and narrowminded he had become.,CONTAINMENT,
I’ve kept this in my memory for years.,CONTAINMENT,
Keep in mind that she is a friend of the director.,CONTAINMENT,
You’ll need these figures so often that you must commit them to memory.,CONTAINMENT,
He stored the knowledge somewhere in his fearsome memory.,CONTAINMENT,
I could see the fear in his eyes.,CONTAINMENT,
His eyes were filled with anger.,CONTAINMENT,
There was passion in her eyes.,CONTAINMENT,
His eyes displayed his compassion.,CONTAINMENT,
She couldn’t get the fear out of her eyes.,CONTAINMENT,
Love showed in his eyes.,CONTAINMENT,
Her eyes welled with emotion.,CONTAINMENT,
It was well within my field of vision.,CONTAINMENT,
My field of vision was entirely filled by the huge crowd.,CONTAINMENT,
He came into view.,CONTAINMENT,
It was outside of my field of vision.,CONTAINMENT,
He went out of view.,CONTAINMENT,
The ship is coming into view.,CONTAINMENT,
I have him in sight.,CONTAINMENT,
I can’t see him – the tree is in the way.,CONTAINMENT,
He’s out of sight now.,CONTAINMENT,
That’s in the center of my field of vision.,CONTAINMENT,
There’s nothing in sight.,CONTAINMENT,
I can’t get all of the ships in sight at once.,CONTAINMENT,
It's out of my field of vision.,CONTAINMENT,
The island is now in full view.,CONTAINMENT,
He’s a young man trapped in an old man’s body.,CONTAINMENT,
He withdraws into himself.,CONTAINMENT,
She found a chink in his armor.,CONTAINMENT,
"Once you get past his rude exterior, you’ll find a warm and caring person inside.",CONTAINMENT,
He’s a beautiful person inside.,CONTAINMENT,
I was filled with rage.,CONTAINMENT,
She was overflowing with joy.,CONTAINMENT,
She could hardly contain her anger.,CONTAINMENT,
She was filled with hatred.,CONTAINMENT,
She let out a bitter cry.,CONTAINMENT,
"The astounded Reichert could only blurt out, “where have you come from?”",CONTAINMENT,
"Romeo wanted to speak out, but waited for her to say more.",CONTAINMENT,
This allowed children to live out their natural interests.,CONTAINMENT,
The truth had to be dragged out of him.,CONTAINMENT,
Children act out their frustration in temper tantrums.,CONTAINMENT,
When cornered they lashed out with savage kicks.,CONTAINMENT,
Women are expected to hold in their anger.,CONTAINMENT,
The implications of this did not first sink in.,CONTAINMENT,
Such expectations are drummed into every growing child.,CONTAINMENT,
He was filled with anger.,CONTAINMENT,
She couldn't contain her joy.,CONTAINMENT,
She was brimming with rage.,CONTAINMENT,
"So profilbewußt, wie der Kanzler nach außen scheint…",CONTAINMENT,
Ähnlich offen horcht Oskar Negt in sich hinein.,CONTAINMENT,
…führte zu ihrer Verdrängung aus dem Bewußtsein…,CONTAINMENT,
"Rechtschaffen, optimistisch und verschlossen…",CONTAINMENT,
…kam keinem der Sieger in den Sinn…,CONTAINMENT,
…kam keinem der Sieger in den Sinn…,CONTAINMENT,
Täter und Opfer bewohnten denselben Körper.,CONTAINMENT,
…und ihre Suche nach den weiblichen Seiten in sich…,CONTAINMENT,
…ihnen das Gegenteil einzureden.,CONTAINMENT,
Schreiben ist introvertiert.,CONTAINMENT,
…ins Bewusstsein zu heben…,CONTAINMENT,
…wie stark wir diesen Zwei-Klassen-Status…schon verinnerlicht haben.,CONTAINMENT,
"Erich, ich sage dir offen,…",CONTAINMENT,
…diesen geradezu buddhistischen Zustand der Leere herzustellen.,CONTAINMENT,
"Von dem Nimbus, der diesen Mann trotz seiner Hohlheit…umgeben gaben muß…",CONTAINMENT,
…stellte die Treuhand-Präsidentin voller Sarkasmus fest.,CONTAINMENT,
…glauben hoffnungsvoll die Weltraum-Fahnder…,CONTAINMENT,
…heftiger Gefühlsausbruch…,CONTAINMENT,
…in ihren Zuhörern das schlechte Gewissen wecken…,CONTAINMENT,
"Das muß ein besonderer Mann sein: voller Zärtlichkeit, Lust, Leben, Herz und Drive.",CONTAINMENT,
"Insgesamt ein älterer Herr in guter Form, voller Laune, Witz, Dynamik.",CONTAINMENT,
Aber eine Leidenschaft brennt in ihm immer noch…,CONTAINMENT,
"Hoffnungsvoll stimmt auch, dass…",CONTAINMENT,
…die Chemnitzer erfüllt jedes alte Gebäude… mit Stolz.,CONTAINMENT,
…Leni Robert von den Grünen ist des Lobes voll…,CONTAINMENT,
…fragen die Sozialdemokraten im ersten Grimm…,CONTAINMENT,
…der sich in einem „schwindelerregenden Taumel erleuchteter Exaltation befand.,CONTAINMENT,
…so befindet man sich in einem Zusande der Spannung…,CONTAINMENT,
…der Tiefe ihrer Empfindungen!,CONTAINMENT,
…aus Sorge um den Planeten…,CONTAINMENT,
…aus Angst vor…,CONTAINMENT,
…aus endloser Langeweile heraus.,CONTAINMENT,
…nicht aus der Ruhe bringen.,CONTAINMENT,
Damal denkt sie in ihrem Schmerz an Selbstmord.,CONTAINMENT,
…in ein solches absolutes Verantwortungsgefühl für Petra Kelly hineingesteigert hat…,CONTAINMENT,
Ein Weg aus der Hoffnungslosigkeit…,CONTAINMENT,
The sketch was in the shape of a heart.,CONTAINMENT,
It was a block of chocolate in the form of a cable car.,CONTAINMENT,
How did I get myself into this situation?,CONTAINMENT,
We’re in this thing together.,CONTAINMENT,
How do we get out of this situation?,CONTAINMENT,
We’re in a mess.,CONTAINMENT,
We’re in hot water.,CONTAINMENT,
We’re in a lot of trouble now.,CONTAINMENT,
Let’s try to get out of this situation.,CONTAINMENT,
He’s in it up to his neck.,CONTAINMENT,
We have to look deeply into this problem for its solution.,CONTAINMENT,
The detective set out to crack the case.,CONTAINMENT,
I’m going to break this case wide open.,CONTAINMENT,
He finally found the key to the problem.,CONTAINMENT,
That’s a hard problem.,CONTAINMENT,
I found his explanation impenetrable.,CONTAINMENT,
The truth finally came out.,CONTAINMENT,
The truth emerged.,CONTAINMENT,
Now we’re really getting into the problem.,CONTAINMENT,
The problem has a buried solution.,CONTAINMENT,
Now I want to get to the bottom of this problem.,CONTAINMENT,
Have you found out a solution?,CONTAINMENT,
I won’t tell you – you’ll have to find out for yourself!,CONTAINMENT,
He finally came up with a solution.,CONTAINMENT,
The solution finally was brought to light.,CONTAINMENT,
We fished out a number of unpleasant facts.,CONTAINMENT,
We dredged up a load of sordid facts about her.,CONTAINMENT,
Only one conclusion can be drawn from that.,CONTAINMENT,
What did you gather from his statement?,CONTAINMENT,
Try to pack more thought into fewer words.,CONTAINMENT,
You can’t simply stuff ideas into a sentence any old way.,CONTAINMENT,
The meaning is right there in the words.,CONTAINMENT,
His words carry little meaning.,CONTAINMENT,
The introduction has a great deal of thought content.,CONTAINMENT,
You should form your words carefully.,CONTAINMENT,
This is a well-crafted sentence.,CONTAINMENT,
Promises should be articulated clearly.,CONTAINMENT,
That remark is completely impenetrable.,CONTAINMENT,
"Whatever Emily meant, it's likely to be locked up in that cryptic little verse forever. ",CONTAINMENT,
He writes sentences in such a way as to seal up the meaning in them.,CONTAINMENT,
Are tomatoes in the fruit or vegetable category?,CONTAINMENT,
It's a borderline case.,CONTAINMENT,
Tomatoes technically fall within the fruit category.,CONTAINMENT,
" I wouldn't put him in the friend category, exactly. ",CONTAINMENT,
Are you in the race on Sunday?,CONTAINMENT,
The finish of the race was really exciting.,CONTAINMENT,
There was a lot of good running in the race.,CONTAINMENT,
"Halfway into the race, I ran out of the energy.",CONTAINMENT,
He’s out of the race now.,CONTAINMENT,
"In washing the window, I splashed water all over the floor.",CONTAINMENT,
How did Jerry get out of washing the window?,CONTAINMENT,
"Outside of washing the windows, what else did you do?",CONTAINMENT,
How much window-washing did you do?,CONTAINMENT,
He’s immersed in washing the windows right now.,CONTAINMENT,
I put a lot of energy into washing the windows.,CONTAINMENT,
I get a lot of satisfaction out of washing the windows.,CONTAINMENT,
There is a lot of satisfaction in washing the windows.,CONTAINMENT,
How did Jerry get out of washing the windows?,CONTAINMENT,
"Outside of washing the windows, what else did you do? ",CONTAINMENT,
I put a lot of energy into washing the windows.,CONTAINMENT,
I get a lot of satisfaction out of washing windows.,CONTAINMENT,
He’s in love.,CONTAINMENT,
We’re out of trouble now.,CONTAINMENT,
He’s coming out of coma.,CONTAINMENT,
I’m slowly getting into shape.,CONTAINMENT,
He entered a state of euphoria.,CONTAINMENT,
He fell into a depression.,CONTAINMENT,
He finally emerged from the catatonic state he had been in since the end of finals week.,CONTAINMENT,
exempted from evil,CONTAINMENT,
I’ve had a full life.,CONTAINMENT,
Life is empty for him.,CONTAINMENT,
There’s not much left for him in life.,CONTAINMENT,
Her life is crammed with activities.,CONTAINMENT,
Get the most out of life.,CONTAINMENT,
His life contained a great deal of sorrow.,CONTAINMENT,
Live your life to the fullest.,CONTAINMENT,
…zum zweiten Mal in seinem Leben…,CONTAINMENT,
Nachdem so ziemlich alle Winkel des männlichen Lebens…ausgeleuchtet scheinen…,CONTAINMENT,
…in ihrem Leben…,CONTAINMENT,
…Integration ins Berufsleben…,CONTAINMENT,
Wie könnte ein politisches Leben mehr umfassen?,CONTAINMENT,
"Willy Brandt hat viele Leben gelebt, voller Abschiede und Anhänge.",CONTAINMENT,
In Wahrheit enthielt es [Willy Brandts Leben] viele Brüche und Widersprüche.,CONTAINMENT,
…scheiden aus dem Leben…,CONTAINMENT,
…in seinem Privatleben…,CONTAINMENT,
…es ist nicht ausgeschlossen…,CONTAINMENT,
…beim Hereinbrechen des Föhns.,CONTAINMENT,
Das ist offen.,CONTAINMENT,
Er schloss es aus…,CONTAINMENT,
"In der zweiten Halbzeit trat das ein, was…",CONTAINMENT,
Schon 1856 hatte man in England Militärphotographie eingeführt.,CONTAINMENT,
…an der Einführung des allgemeinen Wahlrechts in Großbritannien…,CONTAINMENT,
…die impulsiven Reaktionen Tür und Tor öffnen würden.,CONTAINMENT,
Your argument doesn’t have much content.,CONTAINMENT,
That argument has holes in it.,CONTAINMENT,
"You don’t have much of an argument, but his objections have even less substance.",CONTAINMENT,
Your argument is vacuous.,CONTAINMENT,
I’m tired of your empty arguments.,CONTAINMENT,
You won’t find that idea in his argument.,CONTAINMENT,
That conclusion falls out of my argument.,CONTAINMENT,
Your argument won’t hold water.,CONTAINMENT,
Those points are central to the argument – the rest is peripheral.,CONTAINMENT,
I still haven’t gotten to the core of his argument.,CONTAINMENT,
Your argument has a lot of content.,CONTAINMENT,
What is the core of his argument?,CONTAINMENT,
…in der veränderten Welt…,CONTAINMENT,
…mehr Kinder in die Welt zu setzen…,CONTAINMENT,
…von Außerirdischen…,CONTAINMENT,
…in der ganzen Welt…,CONTAINMENT,
…in aller Welt…,CONTAINMENT,
…verkauft…Dienstleistungen in die ganze Welt…,CONTAINMENT,
…die Nummer eins in der Welt…,CONTAINMENT,
…dass die neuen Erfolgsinder sich…in die Welt hineinboxen.,CONTAINMENT,
…ins Weltall…,CONTAINMENT,
…im Weltall…,CONTAINMENT,
…ins All…,CONTAINMENT,
…im galaktischen Äther…,CONTAINMENT,
Aussiedler aus Osteuropa…,CONTAINMENT,
…aus dem Westen…,CONTAINMENT,
…im englischen Norden und im Großraum London…,CONTAINMENT,
"…aus Übersee… , …in Übersee…",CONTAINMENT,
…mitten in Europa…,CONTAINMENT,
…im Baltikum…,CONTAINMENT,
…im Wohlstandswesten…,CONTAINMENT,
…in der „Dritten Welt…,CONTAINMENT,
…in die Provinz…,CONTAINMENT,
…Einwanderung…,CONTAINMENT,
…Innenminister…,CONTAINMENT,
…Außenpolitik…,CONTAINMENT,
…Außenamtschef Klaus Kinkel…,CONTAINMENT,
Die meisten Ausländer…,CONTAINMENT,
…die wichtigste Ordnungsmacht der Welt werden im Wahlkampf über ihre innere Erneuerung und den künftigen Kurs nach außen debattieren.,CONTAINMENT,
…Innere Sicherheit…,CONTAINMENT,
…für In- und Ausland…,CONTAINMENT,
…Ausfuhr von Milchprodukten…,CONTAINMENT,
…mehr Leute ausreisen lassen.,CONTAINMENT,
…wenden ihren Blick aufs Innere des Landes.,CONTAINMENT,
Die Flut der hereinströmenden Importe…,CONTAINMENT,
…sich in Konstantinopel aufhielt…,CONTAINMENT,
In Berlin…,CONTAINMENT,
…Londoner Innenstadt…,CONTAINMENT,
…aus dem kanadischen Toronto…,CONTAINMENT,
…aus Bonn und Paris…,CONTAINMENT,
…in bestimmten Bezirken Londons…,CONTAINMENT,
…im Londoner Stadtteil Hampstead…,CONTAINMENT,
…in einem verfallenen Bezirk an den Londoner Docks…,CONTAINMENT,
…in den Elendsvierteln…,CONTAINMENT,
…in den Armutsvierteln…,CONTAINMENT,
In den ersten drei Monaten…,CONTAINMENT,
…schreiben also hinein in einen Moment neuer Ungewissheit.,CONTAINMENT,
Wie das war in seinem elften Lebensjahr…,CONTAINMENT,
…dem Judentum geistig den Übergang in die Emanzipationsära erleichtert.,CONTAINMENT,
…in Zukunft…,CONTAINMENT,
…an der Schwelle des 21. Jahrhunderts…,CONTAINMENT,
…binnen kurzer Zeit…,CONTAINMENT,
…im unfehlbaren Gestern zu Hause…,CONTAINMENT,
Innerhalb dieses Jahres…,CONTAINMENT,
…bis in den nächsten Herbst hinein.,CONTAINMENT,
"Situationen, in denen…",CONTAINMENT,
Der Mann…befindet sich in der Krise.,CONTAINMENT,
…aus der Krise führen…,CONTAINMENT,
…in bescheidenen Lebensverhältnissen…,CONTAINMENT,
…in absoluter Armut leben…,CONTAINMENT,
…im Wohlstand…,CONTAINMENT,
…Zurückfallen aus einem Ausnahme- in einen Normalzustand?,CONTAINMENT,
…in angstauslösende Situationen schicken…,CONTAINMENT,
…eine Flucht aus der Therapiesituation,CONTAINMENT,
1992 verfallen die USA wieder einmal in jenen Zustand politischer Unberechenbarkeit…,CONTAINMENT,
…Ausweg aus der festgefahrenen Situation…,CONTAINMENT,
…fanden sich in der Arbeitslosigkeit wieder…,CONTAINMENT,
Freunde wird die SPD im Volk damit nicht gewinnen.,CONTAINMENT,
…geschlossene Gruppen…,CONTAINMENT,
…einiger versponnener Außenseiter.,CONTAINMENT,
Elite aus Begabten aller Sparten,CONTAINMENT,
…ein Ausgestoßener…,CONTAINMENT,
…die gewichtige Financial Times eingeschlossen…,CONTAINMENT,
…innerhalb und außerhalb der Partei…,CONTAINMENT,
…in der Bevölkerung…,CONTAINMENT,
Er hat sich in Kreise hineingefunden…,CONTAINMENT,
…innerhalb der eigenen Gesellschaft.,CONTAINMENT,
…in die beste Gesellschaft eingeführt…,CONTAINMENT,
Our circle of friends is quite diverse.,CONTAINMENT,
He's hasn't penetrated that group.,CONTAINMENT,
In der Politik…,CONTAINMENT,
…in Forschung und Entwicklung…,CONTAINMENT,
…Begriffe aus Militär und Sport…,CONTAINMENT,
…in der Literatur…,CONTAINMENT,
…in diesen Bereichen…,CONTAINMENT,
…in der Wirtschaft.,CONTAINMENT,
…im ganzen Universitätsbereich…,CONTAINMENT,
…in Publizistik und Wissenschaft…,CONTAINMENT,
…die Betriebswirte zieht es ins produzierende Gewerbe…,CONTAINMENT,
Die Lage im westdeutschen Maschinenbau…,CONTAINMENT,
…seine Märkte für US-Zigaretten zu öffnen…,CONTAINMENT,
…dem Süden den Zugang zu seinen Märkten erleichtern.,CONTAINMENT,
…Treuhandfirmen würden…in westliche Märkte eindringen…,CONTAINMENT,
…den freien Zugang zu den Märkten der geförderten Staaten.,CONTAINMENT,
…richtete im gemeinsamen Markt ein Chaos an.,CONTAINMENT,
…wieviel an Kapazität aus dem Markt genommen warden soll.,CONTAINMENT,
…Produktionspotential aus dem Markt nehmen.,CONTAINMENT,
die Bauern müssten hinein in den Agrarmarkt…,CONTAINMENT,
…die Öffnung der Märkte…,CONTAINMENT,
Mann muß ja für Einnahmen sorgen.,CONTAINMENT,
Einsparungen bei den Ausgaben …,CONTAINMENT,
In einer ersten Stufe sollen rund 220 Millionen Dollar … in das Gemeinschaftsunternehmen … gesteckt werden …,CONTAINMENT,
"I’ve sunk all my money into this business, so it had better succeed.",CONTAINMENT,
The proposal borders on the absurd.,CONTAINMENT,
The limit must be drawn somewhere.,CONTAINMENT,
They overstepped their authority.,CONTAINMENT,
This goes beyond all bounds.,CONTAINMENT,
You should keep within reasonable limits.,CONTAINMENT,
He seems to have limited intelligence.,CONTAINMENT,
They hedged her in to protect her.,CONTAINMENT,
They were walled in by taboos.,CONTAINMENT,
