sentence,image_schema
Our goal is to show that hummingbirds are essential to military defense.,SOURCE_PATH_GOAL
This observation points the way to an elegant solution.,SOURCE_PATH_GOAL
We have arrived at a disturbing conclusion.,SOURCE_PATH_GOAL
We will proceed in a step-by-step fashion.,SOURCE_PATH_GOAL
We have covered a lot of ground.,SOURCE_PATH_GOAL
He strayed from the line of argument.,SOURCE_PATH_GOAL
Do you follow my argument?,SOURCE_PATH_GOAL
Now we’ve gone off in the wrong direction again.,SOURCE_PATH_GOAL
I’m lost.,SOURCE_PATH_GOAL
You’re going around in circles.,SOURCE_PATH_GOAL
We’re getting off track.,SOURCE_PATH_GOAL
Don’t interrupt my train of thought.,SOURCE_PATH_GOAL
I can follow what he’s saying.,SOURCE_PATH_GOAL
She’s got a one-track mind.,SOURCE_PATH_GOAL
They are far beyond us in technological achievements.,SOURCE_PATH_GOAL
He surpassed his teacher.,SOURCE_PATH_GOAL
He is way ahead of the rest of us.,SOURCE_PATH_GOAL
He’s ahead of the pack.,SOURCE_PATH_GOAL
We have fallen behind the Soviet Union in space exploration.,SOURCE_PATH_GOAL
We are miles ahead of them.,SOURCE_PATH_GOAL
We were left behind.,SOURCE_PATH_GOAL
He strayed from the path.,SOURCE_PATH_GOAL
He’s gone off in the wrong direction.,SOURCE_PATH_GOAL
They’re following us.,SOURCE_PATH_GOAL
I’m lost.,SOURCE_PATH_GOAL
When will he come to the point?,SOURCE_PATH_GOAL
I can see where this is going.,SOURCE_PATH_GOAL
"You must follow exactly the path that the Lord your God has commanded you, …",SOURCE_PATH_GOAL
"My foot has held fast to his steps, I have kept his way and have not turned aside.",SOURCE_PATH_GOAL
"I have chosen him, that he may charge his children and his household after him to keep the way of the Lord by doing righteousness and justice.",SOURCE_PATH_GOAL
"Lead me in the path your commandments, for I delight in it.",SOURCE_PATH_GOAL
Do not let me stray from your commandments.,SOURCE_PATH_GOAL
"They did not walk in the ways of God’s commandments, or tread the paths his righteousness showed them.",SOURCE_PATH_GOAL
"For I have kept the ways of the Lord, and have not wickedly departed from my God.",SOURCE_PATH_GOAL
"But when they [the Israelites] departed from the way he  [God] had prescribed for them, they were utterly defeated..",SOURCE_PATH_GOAL
The Lord to Moses] Your people  …] have been quick to turn aside from the way that I commanded them.,SOURCE_PATH_GOAL
"Because they turned aside from following him, and had no regard for any of his ways",SOURCE_PATH_GOAL
"if you do not obey the commandments of the Lord your God, but turn from the way that I am commanding you today, to follow other gods",SOURCE_PATH_GOAL
He is a deviant.,SOURCE_PATH_GOAL
He deviated from the straight and narrow.,SOURCE_PATH_GOAL
She strayed.,SOURCE_PATH_GOAL
He went over this in his mind.,SOURCE_PATH_GOAL
The question of overtime pay proved to be an insurmountable stumbling block to agreement.,SOURCE_PATH_GOAL
We reason from premise to conclusion.,SOURCE_PATH_GOAL
The evidence pointed in all different directions.,SOURCE_PATH_GOAL
Reason leads me to that conclusion.,SOURCE_PATH_GOAL
This assumption is what’s misleading us.,SOURCE_PATH_GOAL
We’re going around in circles.,SOURCE_PATH_GOAL
We're making progress on defining what kind of house we are looking for.,SOURCE_PATH_GOAL
"wir lenken unsere Gedanken auf verschiedenen Wegen, und diejenigen, die nur sehr langsam gehen, können viel mehr vorankommen, wenn sie immer dem geraden Weg folgen, als diejenigen, die laufen und sich vom Weg entfernen.",SOURCE_PATH_GOAL
"Mit der Naturwissenschaft ging es weit langsamer zu [als mit der Mathematik], bis sie den Heeresweg der Wissenschaft traf.",SOURCE_PATH_GOAL
…dass er zur Führung seines Landes ähnlicher Eigenschaften bedarf…,SOURCE_PATH_GOAL
…Führung einer High-Tech-Firma,SOURCE_PATH_GOAL
…für den Führer der Großmacht USA…,SOURCE_PATH_GOAL
…dass die führenden Leute unserer Regierung…,SOURCE_PATH_GOAL
…in Führungspositionen…,SOURCE_PATH_GOAL
Der erste vom Volk gewählte Präsident…muß eine Wirtschaft…aus der Krise führen…,SOURCE_PATH_GOAL
…der Litauen als Staatsoberhaupt in die Unabhängigkeit geführt hatte.,SOURCE_PATH_GOAL
Nach dem Führungswechsel der Verbandsspitze…,SOURCE_PATH_GOAL
…unter den Führern großer Unternehmen…,SOURCE_PATH_GOAL
"Was wie eine Streitschrift…begonnen hatte, ist unterwegs zu einem ironischen Kommentar…",SOURCE_PATH_GOAL
Entweder geht die Entwicklung in Richtung eines Krieges…oder…,SOURCE_PATH_GOAL
Welche Signale weisen den Weg der deutschen Wirtschaft in den kommenden Monaten?,SOURCE_PATH_GOAL
…die fortschreitende Verarmung…,SOURCE_PATH_GOAL
"…einem Stadtteil Bremens, der dem gleichen Schicksal entgegengeht.",SOURCE_PATH_GOAL
…“sich durch seine Krisen weiterzuentwickeln.“,SOURCE_PATH_GOAL
…durchläuft die HIV-Infektion…eine eigene Evolution.,SOURCE_PATH_GOAL
…läßt sich die Evolution der Aids-Viren verfolgen.,SOURCE_PATH_GOAL
Zurück zu den Ursprüngen?,SOURCE_PATH_GOAL
…auf die…Rassenspannungen zurückzuführen…,SOURCE_PATH_GOAL
…auf genetische Ursachen zurückgeführt werden…,SOURCE_PATH_GOAL
…dass dem gleichen Geld auch der gleiche Massenwohlstand nachfolgte.,SOURCE_PATH_GOAL
Einer industriellen Inverstition gehen jahrelange Prozesse voraus…,SOURCE_PATH_GOAL
"Eine Hiobsbotschaft, der kein durchgreifendes Handeln folgte…",SOURCE_PATH_GOAL
Zwei deprimierende Wahlniederlagen waren dem Sieg vorausgegangen…,SOURCE_PATH_GOAL
…war diesem Bruch…einer jener bezeichnender Brüche in Brandts eigener politischen Vita vorausgegangen…,SOURCE_PATH_GOAL
…mehr noch als die vorangegangenen Meisterwerke…,SOURCE_PATH_GOAL
1920 folgen die städtischen Kunstsammlungen…,SOURCE_PATH_GOAL
Ein Höhepunkt jagt den anderen…,SOURCE_PATH_GOAL
Glücklich waren nach ihrem vierten Titel hintereinander die Eistänzer Jennifer Goodsbee/Hendryk Schamberger..,SOURCE_PATH_GOAL
You should move on with your life.,SOURCE_PATH_GOAL
We’ve come a long way.,SOURCE_PATH_GOAL
We've covered lots of ground.,SOURCE_PATH_GOAL
We've made it this far!,SOURCE_PATH_GOAL
"President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains. ",SOURCE_PATH_GOAL
He is far more intelligent than he looks.,SOURCE_PATH_GOAL
"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year. ",SOURCE_PATH_GOAL
"Democrats Push Through Historic, Controversial Health Care Legislation ",SOURCE_PATH_GOAL
The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.,SOURCE_PATH_GOAL
We are reaching the end of the house-buying process.,SOURCE_PATH_GOAL
"Finally, all my educational goals are in reach. ",SOURCE_PATH_GOAL
We are entering the last stages of filing for bankruptcy.,SOURCE_PATH_GOAL
We are at a standstill.,SOURCE_PATH_GOAL
We aren't getting any place.,SOURCE_PATH_GOAL
We aren't going anywhere.,SOURCE_PATH_GOAL
We are going nowhere with this.,SOURCE_PATH_GOAL
We've reached the end.,SOURCE_PATH_GOAL
We are seeing the light at the end of the tunnel.,SOURCE_PATH_GOAL
We only have a short way to go.,SOURCE_PATH_GOAL
The end is in sight.,SOURCE_PATH_GOAL
The end is a long ways off.,SOURCE_PATH_GOAL
How close are these two numbers?,SOURCE_PATH_GOAL
"37 is far away from 189,712.",SOURCE_PATH_GOAL
4.9 is near 5.,SOURCE_PATH_GOAL
The result is around 40.,SOURCE_PATH_GOAL
"Count up to 20, without skipping any numbers.",SOURCE_PATH_GOAL
Count backward from 20.,SOURCE_PATH_GOAL
"Count to 100, starting at 20.",SOURCE_PATH_GOAL
Name all the numbers from 2 to 10.,SOURCE_PATH_GOAL
Zero lies between one and minus one.,SOURCE_PATH_GOAL
to get into the story.,SOURCE_PATH_GOAL
I was astounded at the way you can walk in—almost walk into a book and just live in it.,SOURCE_PATH_GOAL
going to a place where you had never been yet but might be curious about or had heard something about.,SOURCE_PATH_GOAL
"The writer did a wonderful job of transporting me into the worlds of half a dozen different people, totally different from mine, outside my experience, but somehow I made them all real.",SOURCE_PATH_GOAL
you’re following the character,SOURCE_PATH_GOAL
So you do feel like you’ve been on the trip with them actually.,SOURCE_PATH_GOAL
Devastation from the hurricane thrust the nation into recession.,SOURCE_PATH_GOAL
Congress' refusal to compromise is moving the country toward economic ruin.,SOURCE_PATH_GOAL
It is smooth sailing from here on in in the application process.,SOURCE_PATH_GOAL
It's all downhill for the rest of the course.,SOURCE_PATH_GOAL
He exercised to the point of exhaustion.,SOURCE_PATH_GOAL
She squeezed her way to thinner thighs.,SOURCE_PATH_GOAL
He drank himself out of the promotion.,SOURCE_PATH_GOAL
He went on with what he was doing.,SOURCE_PATH_GOAL
She went back to sleep.,SOURCE_PATH_GOAL
She successfully navigated her way through the contract negotiations.,SOURCE_PATH_GOAL
Regulations keep me from moving ahead with this housing project.,SOURCE_PATH_GOAL
Sudden illness stopped his progress.,SOURCE_PATH_GOAL
He's really gotten hung up at that step in the process.,SOURCE_PATH_GOAL
He is so caught up in his work he can't do anything else.,SOURCE_PATH_GOAL
He was held up in the meeting.,SOURCE_PATH_GOAL
Our President will chart a path to prosperity.,SOURCE_PATH_GOAL
We will navigate the choppy waters of recession into smooth fiscal sailing.,SOURCE_PATH_GOAL
Pakistan's economy has ability to navigate through choppy waters.,SOURCE_PATH_GOAL
Crime is stalking the youth of our major cities.,SOURCE_PATH_GOAL
"gang crime ravages inner cities, destroys families, and causes whole neighborhoods to hunker down in fear ",SOURCE_PATH_GOAL
Crime is a beast ravaging the city.,SOURCE_PATH_GOAL
"His innocence had sent an intricate net of feelers snaking to- ward the world, but when would they be snapped.",SOURCE_PATH_GOAL
The number of books printed each year is going up.,VERTICALITY
My income rose last year.,VERTICALITY
The number of errors made is incredibly low.,VERTICALITY
He is underage.,VERTICALITY
The number of books printed each year keeps going up.,VERTICALITY
His draft number is high.,VERTICALITY
My income rose last year.,VERTICALITY
The amount of artistic activity in this state has gone down in the past year.,VERTICALITY
The number of errors he made is incredibly low.,VERTICALITY
His income fell last year.,VERTICALITY
He is underage.,VERTICALITY
"If you’re too hot, turn the heat down.",VERTICALITY
An IQ of over 150.,VERTICALITY
"Speak up, please.",VERTICALITY
"Keep your voice down, please.",VERTICALITY
Prices are high.,VERTICALITY
Europeans are now complaining of high American interest rates.,VERTICALITY
Home ownership involves higher indebtedness than renting a house does.,VERTICALITY
The number of people living in poverty went up.,VERTICALITY
Can you please decrease the number of assignments?,VERTICALITY
Die Zinsen sind hoch.,VERTICALITY
Indes habe das Angebot der Firma X um 30 Prozent höher gelegen.,VERTICALITY
"… die USA, die … die mit Abstand höchste Privatverschuldung verzeichnen …",VERTICALITY
"Die Einfuhr lag um 14 Prozent höher als vor einem Jahr, die Ausfuhr um 3,9 Prozent niedriger.",VERTICALITY
XYZ-Aktien schlossen … niedriger …,VERTICALITY
Bass closed sharply lower although above the worst of the session.,VERTICALITY
…verramscht sie ihre Zigaretten unter Herstellungskosten…,VERTICALITY
TTM hat über 90 Prozent Marktanteil…,VERTICALITY
…Jugendlichen unter 17 Jahren.,VERTICALITY
…ist chronisch unterernährt.,VERTICALITY
…unter einer halben Million geht nichts mehr…,VERTICALITY
…unterhalb der Armutsgrenze…,VERTICALITY
…Löhne unter Tarif zuzulassen.,VERTICALITY
…mit über 64 Jahren,VERTICALITY
…um 435 Mill. unter dem Wert…,VERTICALITY
…unter 60 DM.,VERTICALITY
Da ist die steigende Kriminalität...,VERTICALITY
…die Lautstärke…ganz erheblich erhöhen.,VERTICALITY
…war der Wert der Objekte um das Zehnfache gestiegen.,VERTICALITY
…Steuererhöhungen…,VERTICALITY
…die Not selbst vergrößern…,VERTICALITY
Das Bewusstsein dafür steigt…,VERTICALITY
…einen Anstieg der Temperatur…,VERTICALITY
…was den Subventionsbedarf …in die Höhe treibt.,VERTICALITY
…wenn das Unbehagen oder die Krisenstimmung so weit angestiegen sind…,VERTICALITY
…steigende soziale Probleme…,VERTICALITY
...deren Marktanteil… auf zehn Prozent gefallen war…,VERTICALITY
Er will die Einkommenssteuer senken…,VERTICALITY
…der tatsächliche Wert…erheblich gesunken.,VERTICALITY
…absackende Grundstückspreise und fallende Mieteinnahmen…,VERTICALITY
…mit den Löhnen herunterzugehen.,VERTICALITY
…mit den Löhnen herunterzugehen.,VERTICALITY
Die Netto-Umsatzrendite ist…gesunken. Die Gewinne liegen bisher ein Drittel niedriger als im Vorjahr.,VERTICALITY
…fielen die Bestellungen…,VERTICALITY
…angesichts dramatisch gefallener Rohstoffpreise…,VERTICALITY
Die Warnung vor sinkenden Löhnen…,VERTICALITY
Her temperature is going down.,VERTICALITY
The price of stocks rose.,VERTICALITY
My to-do list is piling up!,VERTICALITY
level of anger,VERTICALITY
anger rise (in PERS),VERTICALITY
anger drop,VERTICALITY
anger arise/come arising from X,VERTICALITY
rising/high anger,VERTICALITY
level/height of anger,VERTICALITY
she gets up his anger,VERTICALITY
fear be high among X,VERTICALITY
fear peak,VERTICALITY
fear be ascendant,VERTICALITY
fear rise,VERTICALITY
X heighten fear,VERTICALITY
The number of poor people is higher than the number of rich ones.,VERTICALITY
Joe is above Bill in intelligence.,VERTICALITY
He thinks he is above us.,VERTICALITY
He has an edge over us.,VERTICALITY
We’re not at his level.,VERTICALITY
He’s up there with the best of them.,VERTICALITY
The number of poor people is higher than the number of rich ones.,VERTICALITY
Joe is above Bill in intelligence.,VERTICALITY
He thinks he is above us.,VERTICALITY
He has an edge over us.,VERTICALITY
We’re not at his level.,VERTICALITY
He’s up there with the best of them.,VERTICALITY
She has high standards.,VERTICALITY
He does high-quality work.,VERTICALITY
"We hit a peak last year, but it’s been downhill ever since.",VERTICALITY
Things are looking up.,VERTICALITY
Things are at an all-time low.,VERTICALITY
High-quality work.,VERTICALITY
My cake will never be up there with hers.,VERTICALITY
His work has really been slipping.,VERTICALITY
His work has really been sliding.,VERTICALITY
His work has really been slumping.,VERTICALITY
Living up to high expectations,VERTICALITY
…jede Phase des menschlichen Seins mit all ihren Höhen und Tiefen…,VERTICALITY
…wenn sie  eine hervorragende sprachliche und theoretische Begabung besitzen…,VERTICALITY
…Spitzenarbeit leistet…,VERTICALITY
…Rolph Naders hohe Meinung von der Anwaltsgilde.,VERTICALITY
…höherwertige Produkte…,VERTICALITY
Und das gelingt ihm denn auch hervorragend.,VERTICALITY
…Vergleich „höherwertiger“ mit „minderwertigen Rassen“…,VERTICALITY
…der überragende Dortmunder Profi…,VERTICALITY
…dass die Leistungen nicht so weit von der Spitze weg sind.,VERTICALITY
"damit die letzten begännen, wo die Vorgänger geendet hätten, und wir alle zusammen viel weiter gehen würden, als jeder für sich hätte tun können.",VERTICALITY
Es geht also aufwärts.,VERTICALITY
…den ersehnten Aufschwung…,VERTICALITY
…einem erneuten Wirtschaftsaufschwung…,VERTICALITY
…daß es längere Zeit nicht aufwärtsgeht.,VERTICALITY
Den Aufschwung der Region…,VERTICALITY
Wann wird es wieder bergauf gehen mit der Konjunktur?,VERTICALITY
…der Partei den dringend nötigen Aufwind zu verschaffen.,VERTICALITY
Wann geht das Abwärts wieder aufwärts?,VERTICALITY
…die Hoffnung auf den Aufschwung…,VERTICALITY
…Ostdeutschland vor dem endgültigen Niedergang zu retten.,VERTICALITY
…einer abwärts trudelnden Union…,VERTICALITY
Niedergang einer Partei,VERTICALITY
…den Abstieg seines Landes aus der „Ersten Liga“ Europas…,VERTICALITY
…zu Sündenböcken und Watschenmännern der Nation heruntergekommen.,VERTICALITY
"Ich hoffe nur, dass ihre Zeitung nicht noch weiter nach unten rutscht…",VERTICALITY
So tief können die Popularitätswerte des Mannes…gar nicht sinken…,VERTICALITY
Maschinenbau rutscht immer tiefer in die Krise.,VERTICALITY
Ansonsten geht es überall steil bergab.,VERTICALITY
…während alle anderen im Kurs gefallen sind.,VERTICALITY
…jede Phase des menschlichen Seins mit all ihren Höhen und Tiefen…,VERTICALITY
„Als die Leute in den Abgrund einer sozialistischen Regierung schauten…,VERTICALITY
…die Verflechtung von „Oberwelt und Unterwelt“.,VERTICALITY
…Rückfall in den Fremdenhaß…,VERTICALITY
Sinnlos treibt die Welt zum Abgrund,VERTICALITY
…Tal der Armut.,VERTICALITY
Soviel Überblick hat der Pfälzer auch in der Talsohle allemal.,VERTICALITY
…aus den Niederungen des Trivialen…,VERTICALITY
…auf dem Tiefpunkt gewesen…,VERTICALITY
Die Stimmung ist im Keller…,VERTICALITY
"For the wise the path of life leads upwards, in order to avoid Sheol below.",VERTICALITY
he ranks high.,VERTICALITY
Spinach ranks higher than lettuce in greeness.,VERTICALITY
Eddie Murphy ranks above Bob Hope in sense of humor.,VERTICALITY
he ranks very low.,VERTICALITY
He’s at the bottom of the list.,VERTICALITY
She’ll rise to the top.,VERTICALITY
He has little upward mobility.,VERTICALITY
He’s at the bottom of the social hierarchy.,VERTICALITY
He has a lofty position.,VERTICALITY
She’ll rise to the top.,VERTICALITY
He’s at the peak of his career.,VERTICALITY
He’s climbing the ladder.,VERTICALITY
He has little upward mobility.,VERTICALITY
She fell in status.,VERTICALITY
Climbing the academic ladder.,VERTICALITY
to fall from grace,VERTICALITY
He ranks above me.,VERTICALITY
They are lower class.,VERTICALITY
Climbing the ladder in the company.,VERTICALITY
Be nice to the people you meet on your way up. . .,VERTICALITY
He’s the top of the heap.,VERTICALITY
He's gone over my head to the top supervisor.,VERTICALITY
In that community there is little opportunity for upward mobility.,VERTICALITY
He is low on the totem pole.,VERTICALITY
…aufstrebende Bankangestellte…,VERTICALITY
Ulf Fink will die Treppe hoch…,VERTICALITY
"…dem liberalen Aufsteiger des Jahres, Klaus Kinkel…",VERTICALITY
"…zu Glanz, Ruhm und Geld aufgestiegen…",VERTICALITY
Voß begann 1977 im ZDF ganz unten als Nachrichtenredakteur.,VERTICALITY
… wolle er selbst einmal ganz oben Chef werden…,VERTICALITY
…auf den nächsten Karrierestufen…,VERTICALITY
…der FDP-Emporkömmling…,VERTICALITY
…der kometenhafte Aufstieg des texanischen Milliardärs Ross Perot…,VERTICALITY
…beim beruflichen Aufstieg…,VERTICALITY
I have control over her.,VERTICALITY
His power is on the decline.,VERTICALITY
I have control over him.,VERTICALITY
He is under my power.,VERTICALITY
I’m on top of the situation.,VERTICALITY
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany... ",VERTICALITY
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,VERTICALITY
I have it all under control.,VERTICALITY
He has a dominating/submissive personality.,VERTICALITY
He’s in superior position.,VERTICALITY
He’s at the height of his power.,VERTICALITY
He’s in the high command.,VERTICALITY
He’s in the upper echelon.,VERTICALITY
His power rose.,VERTICALITY
He ranks above me in strength.,VERTICALITY
He fell from power.,VERTICALITY
He is my social inferior.,VERTICALITY
He is low man on the totem pole.,VERTICALITY
I’m on top of the situation.,VERTICALITY
Don’t worry! I’m on top of the situation.,VERTICALITY
Today there are very few submissive women.,VERTICALITY
Report to your superiors for duty.,VERTICALITY
He's the low man on the totem pole.,VERTICALITY
Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.,VERTICALITY
Relax. We've got everything under control.,VERTICALITY
The pupils submitted themselves to discipline.,VERTICALITY
She did it under the supervision of a a senior teacher.,VERTICALITY
Who's the underdog?,VERTICALITY
He suffers from an inferiority complex.,VERTICALITY
I belong to the subordinate staff.,VERTICALITY
A major is below a colonel.,VERTICALITY
The romans subjected most of Europe to their rule.,VERTICALITY
They subdued their enemies to their sway.,VERTICALITY
He spoke to her in a condescending tone.,VERTICALITY
He even stooped to lying.,VERTICALITY
That boosted my spirits.,VERTICALITY
He is really down these days.,VERTICALITY
I’m depressed.,VERTICALITY
My spirit rose.,VERTICALITY
You’re in high spirits.,VERTICALITY
Thinking about her always gives me a lift.,VERTICALITY
I'm soaring with joy.,VERTICALITY
I’m feeling down.,VERTICALITY
He’s really low these days.,VERTICALITY
I fell into a depression.,VERTICALITY
My spirit sank.,VERTICALITY
His spirits fell.,VERTICALITY
Cheer up!,VERTICALITY
I’m feeling up today.,VERTICALITY
He’s really low these days.,VERTICALITY
We had to cheer him up.,VERTICALITY
Lighten up!,VERTICALITY
She lit up.,VERTICALITY
We had to cheer him up.,VERTICALITY
He will be elated with joy,VERTICALITY
joy be lifted,VERTICALITY
He brought me down with his remarks,VERTICALITY
sinking feeling of sadness,VERTICALITY
I'm uplifted.,VERTICALITY
He was overjoyed.,VERTICALITY
I was flying high.,VERTICALITY
She was on cloud nine.,VERTICALITY
I'm six feet off the ground.,VERTICALITY
We were in the clouds.,VERTICALITY
I was just soaring with happiness.,VERTICALITY
"After the exam, I was walking on air for days.",VERTICALITY
They were riding high.,VERTICALITY
I wasfloating.,VERTICALITY
deep sadness,VERTICALITY
sadness be deep,VERTICALITY
event deepen sadness,VERTICALITY
sinking feeling of sadness,VERTICALITY
Are we downhearted?,VERTICALITY
Why is he looking so dejected?,VERTICALITY
"In economic development, the equivalent of having a level playing field is equality of access to basic services. ",VERTICALITY
The servers are back up after having been down for days.,VERTICALITY
The government was toppled.,VERTICALITY
The government fell.,VERTICALITY
Upcoming events.,SOURCE_PATH_GOAL
What events are up ahead?,SOURCE_PATH_GOAL
All upcoming events are listed in the paper.,SOURCE_PATH_GOAL
I’m afraid what’s up ahead of us?,SOURCE_PATH_GOAL
What’s coming up this week?,SOURCE_PATH_GOAL
What’s up?,SOURCE_PATH_GOAL
We’re looking ahead to the future.,SOURCE_PATH_GOAL
He has a great future in front of him.,SOURCE_PATH_GOAL
He’s at the peak of health.,VERTICALITY
Lazarus rose from the dead.,VERTICALITY
He’s in top shape.,VERTICALITY
"As to his health, he’s way up there.",VERTICALITY
He fell ill.,VERTICALITY
He’s sinking fast.,VERTICALITY
He came down with the flu.,VERTICALITY
His health is declining.,VERTICALITY
He dropped dead.,VERTICALITY
He fell ill.,VERTICALITY
That was a demeaning comment.,VERTICALITY
I won’t do that -- it’s degrading!,VERTICALITY
He debased himself.,VERTICALITY
... standing on the precipice of distress.,VERTICALITY
she found not only low sexual desire but low distress about it.,VERTICALITY
Attack Svetlana was in deep distress before the bombs exploded.,VERTICALITY
"The tears fall constantly, but, if she was mad with grief back then, she appears to have pulled back a little from the brink.",VERTICALITY
"Today, Bousignac, ... , feels like the whole world is again collapsing around her. ‘I don’t know if I will ever overcome this. The pain is never-ending …,’ adistressed Bousignac said.",VERTICALITY
Get up.,VERTICALITY
Wake up.,VERTICALITY
I’m up already.,VERTICALITY
He rises early in the morning.,VERTICALITY
He fell asleep.,VERTICALITY
He dropped off to sleep.,VERTICALITY
He’s  under hypnoses.,VERTICALITY
He sank into a coma.,VERTICALITY
Wake up.,VERTICALITY
He fell into a coma.,VERTICALITY
"The discussion fell to the emotional level, but I raised it back up to the rational plane.",VERTICALITY
He couldn’t rise above his emotions.,VERTICALITY
high vs. low brow,VERTICALITY
We put our feelings aside and had a high-level intellectual discussion of the matter.,VERTICALITY
The discussion fell to an emotional level.,VERTICALITY
He is high-minded.,VERTICALITY
She has high standards.,VERTICALITY
She is upright.,VERTICALITY
She is an upstanding citizen.,VERTICALITY
Be straight with me.,VERTICALITY
He's a crooked businessman.,VERTICALITY
God-fearing men must keep strictly to the straight and narrow.,VERTICALITY
That was a low trick.,VERTICALITY
Don’t be underhanded.,VERTICALITY
I wouldn’t stoop to that.,VERTICALITY
That would be beneath me.,VERTICALITY
He's a snake in the grass.,VERTICALITY
That was a low-down thing to do.,VERTICALITY
"Upright, on the up and up, on a high moral plain, above board, high-minded, upstanding citizen, underhanded/low trick.",VERTICALITY
That would be beneath me.,VERTICALITY
He is a person of very high moral standards.,VERTICALITY
That’s up in the air.,VERTICALITY
The matter is settled.,VERTICALITY
I’d like to raise some questions about that.,VERTICALITY
That settles the question.,VERTICALITY
It’s still up for grabs.,VERTICALITY
Let’s bring it up for discussion.,VERTICALITY
There’s a deeper issue here.,VERTICALITY
That’s a profound problem.,VERTICALITY
Let’s ignore all the details on the surface.,VERTICALITY
There’s a deeper issue here.,VERTICALITY
… a deep thinker.,VERTICALITY
He had a probing mind.,VERTICALITY
He’s really high.,VERTICALITY
She’s coming down.,VERTICALITY
His best jokes all fell flat.,VERTICALITY
The scheme fell through.,VERTICALITY
If you work too hard you may collapse.,VERTICALITY
He had a nervous breakdown.,VERTICALITY
She broke down when she heard of his death.,VERTICALITY
Eve tempted Adam and he fell.,VERTICALITY
Earlier their used to be fallen women.,VERTICALITY
The government is a sinking ship.,VERTICALITY
The government has fallen.,VERTICALITY
She is a falling star.,VERTICALITY
What caused the decline and fall of the Roman Empire?,VERTICALITY
Your work falls short of my expectations.,VERTICALITY
a high-pitched voice,VERTICALITY
