sentence,image_schema
…im Wohlstandswesten…,CONTAINMENT
…in der „Dritten Welt…,CONTAINMENT
…in die Provinz…,CONTAINMENT
…Einwanderung…,CONTAINMENT
…Innenminister…,CONTAINMENT
…Außenpolitik…,CONTAINMENT
…Außenamtschef Klaus Kinkel…,CONTAINMENT
Die meisten Ausländer…,CONTAINMENT
…die wichtigste Ordnungsmacht der Welt werden im Wahlkampf über ihre innere Erneuerung und den künftigen Kurs nach außen debattieren.,CONTAINMENT
…Innere Sicherheit…,CONTAINMENT
…für In- und Ausland…,CONTAINMENT
…Ausfuhr von Milchprodukten…,CONTAINMENT
…mehr Leute ausreisen lassen.,CONTAINMENT
…wenden ihren Blick aufs Innere des Landes.,CONTAINMENT
Die Flut der hereinströmenden Importe…,CONTAINMENT
…sich in Konstantinopel aufhielt…,CONTAINMENT
In Berlin…,CONTAINMENT
…Londoner Innenstadt…,CONTAINMENT
…aus dem kanadischen Toronto…,CONTAINMENT
…aus Bonn und Paris…,CONTAINMENT
…in bestimmten Bezirken Londons…,CONTAINMENT
…im Londoner Stadtteil Hampstead…,CONTAINMENT
…in einem verfallenen Bezirk an den Londoner Docks…,CONTAINMENT
…in den Elendsvierteln…,CONTAINMENT
…in den Armutsvierteln…,CONTAINMENT
In den ersten drei Monaten…,CONTAINMENT
…schreiben also hinein in einen Moment neuer Ungewissheit.,CONTAINMENT
Wie das war in seinem elften Lebensjahr…,CONTAINMENT
…dem Judentum geistig den Übergang in die Emanzipationsära erleichtert.,CONTAINMENT
…in Zukunft…,CONTAINMENT
…an der Schwelle des 21. Jahrhunderts…,CONTAINMENT
…binnen kurzer Zeit…,CONTAINMENT
…im unfehlbaren Gestern zu Hause…,CONTAINMENT
Innerhalb dieses Jahres…,CONTAINMENT
…bis in den nächsten Herbst hinein.,CONTAINMENT
"Situationen, in denen…",CONTAINMENT
Der Mann…befindet sich in der Krise.,CONTAINMENT
…aus der Krise führen…,CONTAINMENT
…in bescheidenen Lebensverhältnissen…,CONTAINMENT
…in absoluter Armut leben…,CONTAINMENT
…im Wohlstand…,CONTAINMENT
…Zurückfallen aus einem Ausnahme- in einen Normalzustand?,CONTAINMENT
…in angstauslösende Situationen schicken…,CONTAINMENT
…eine Flucht aus der Therapiesituation,CONTAINMENT
1992 verfallen die USA wieder einmal in jenen Zustand politischer Unberechenbarkeit…,CONTAINMENT
…Ausweg aus der festgefahrenen Situation…,CONTAINMENT
…fanden sich in der Arbeitslosigkeit wieder…,CONTAINMENT
Freunde wird die SPD im Volk damit nicht gewinnen.,CONTAINMENT
…geschlossene Gruppen…,CONTAINMENT
…einiger versponnener Außenseiter.,CONTAINMENT
Elite aus Begabten aller Sparten,CONTAINMENT
…ein Ausgestoßener…,CONTAINMENT
…die gewichtige Financial Times eingeschlossen…,CONTAINMENT
…innerhalb und außerhalb der Partei…,CONTAINMENT
…in der Bevölkerung…,CONTAINMENT
Er hat sich in Kreise hineingefunden…,CONTAINMENT
…innerhalb der eigenen Gesellschaft.,CONTAINMENT
…in die beste Gesellschaft eingeführt…,CONTAINMENT
Our circle of friends is quite diverse.,CONTAINMENT
He's hasn't penetrated that group.,CONTAINMENT
In der Politik…,CONTAINMENT
…in Forschung und Entwicklung…,CONTAINMENT
…Begriffe aus Militär und Sport…,CONTAINMENT
…in der Literatur…,CONTAINMENT
…in diesen Bereichen…,CONTAINMENT
…in der Wirtschaft.,CONTAINMENT
…im ganzen Universitätsbereich…,CONTAINMENT
…in Publizistik und Wissenschaft…,CONTAINMENT
…die Betriebswirte zieht es ins produzierende Gewerbe…,CONTAINMENT
Die Lage im westdeutschen Maschinenbau…,CONTAINMENT
…seine Märkte für US-Zigaretten zu öffnen…,CONTAINMENT
…dem Süden den Zugang zu seinen Märkten erleichtern.,CONTAINMENT
…Treuhandfirmen würden…in westliche Märkte eindringen…,CONTAINMENT
…den freien Zugang zu den Märkten der geförderten Staaten.,CONTAINMENT
…richtete im gemeinsamen Markt ein Chaos an.,CONTAINMENT
…wieviel an Kapazität aus dem Markt genommen warden soll.,CONTAINMENT
…Produktionspotential aus dem Markt nehmen.,CONTAINMENT
die Bauern müssten hinein in den Agrarmarkt…,CONTAINMENT
…die Öffnung der Märkte…,CONTAINMENT
Mann muß ja für Einnahmen sorgen.,CONTAINMENT
Einsparungen bei den Ausgaben …,CONTAINMENT
In einer ersten Stufe sollen rund 220 Millionen Dollar … in das Gemeinschaftsunternehmen … gesteckt werden …,CONTAINMENT
"I’ve sunk all my money into this business, so it had better succeed.",CONTAINMENT
The proposal borders on the absurd.,CONTAINMENT
The limit must be drawn somewhere.,CONTAINMENT
They overstepped their authority.,CONTAINMENT
This goes beyond all bounds.,CONTAINMENT
You should keep within reasonable limits.,CONTAINMENT
He seems to have limited intelligence.,CONTAINMENT
They hedged her in to protect her.,CONTAINMENT
They were walled in by taboos.,CONTAINMENT
